# lambda        U1          U2           U3           U4
#
  4747.2   0.00002482   0.00000784   0.00001431   0.00001762 
  4752.4   0.00001685   0.00001591   0.00000933   0.00002773 
  4757.7   0.00001798   0.00001704   0.00000870   0.00003294 
  4763.0   0.00001214   0.00002395   0.00000981   0.00002087 
  4768.3   0.00000792   0.00002425   0.00000392   0.00001189 
  4773.5   0.00001000   0.00001589   0.00000451   0.00001016 
  4778.8   0.00001454   0.00001184   0.00000528   0.00001541 
  4784.1   0.00001327   0.00000815   0.00000376   0.00001873 
  4789.4   0.00001649   0.00001843   0.00000675   0.00003578 
  4794.6   0.00002071   0.00001737  -0.00000021   0.00003439 
  4799.9   0.00000419   0.00001632   0.00000678   0.00001900 
  4805.2   0.00001584   0.00002257   0.00001428   0.00002602 
  4810.4   0.00001270   0.00001261   0.00000578   0.00001980 
  4815.7   0.00003114   0.00000269   0.00000556   0.00002730 
  4821.0   0.00002170   0.00002307   0.00001626   0.00003789 
  4826.3   0.00001280   0.00002869   0.00000756   0.00005348 
  4831.5   0.00001438   0.00002358   0.00000729   0.00007990 
  4836.8   0.00000995   0.00002807   0.00000831   0.00010471 
  4842.1   0.00001834   0.00002168   0.00001280   0.00012164 
  4847.4   0.00003383   0.00002129   0.00001726   0.00011841 
  4852.6   0.00000955   0.00001288   0.00000628   0.00008981 
  4857.9   0.00002432   0.00001523   0.00000721   0.00007635 
  4863.2   0.00002284   0.00002255   0.00001020   0.00007131 
  4868.4   0.00001378   0.00002600   0.00001282   0.00004159 
  4873.7   0.00002514   0.00002286   0.00001715   0.00000690 
  4879.0   0.00001822   0.00001664   0.00001642   0.00001036 
  4884.2   0.00002933   0.00002259   0.00000811   0.00001026 
  4889.5   0.00001854   0.00002738   0.00000465   0.00001894 
  4894.8   0.00001253   0.00002931   0.00000487   0.00003069 
  4900.1   0.00001896   0.00001251   0.00000225   0.00002155 
  4905.3   0.00002256   0.00002183   0.00001066   0.00001872 
  4910.6   0.00002250   0.00003336   0.00001537   0.00001505 
  4915.9   0.00001732   0.00001848  -0.00000125   0.00002381 
  4921.2   0.00002119   0.00001933   0.00000426   0.00002342 
  4926.4   0.00001089   0.00002303   0.00000921   0.00001304 
  4931.7   0.00002601   0.00002280   0.00000966   0.00001807 
  4937.0   0.00002807   0.00002200   0.00000675   0.00003102 
  4942.2   0.00001563   0.00001727  -0.00000073   0.00002097 
  4947.5   0.00001993   0.00002216   0.00000518   0.00002010 
  4952.8   0.00001799   0.00003271   0.00000660   0.00002643 
  4958.1   0.00003060   0.00002686   0.00000423   0.00002716 
  4963.3   0.00003166   0.00001428   0.00000459   0.00001870 
  4968.6   0.00001828   0.00001451  -0.00000101   0.00001240 
  4973.9   0.00002294   0.00001628   0.00000555   0.00002297 
  4979.2   0.00004453   0.00001915   0.00001177   0.00001567 
  4984.4   0.00001472   0.00002360   0.00000537   0.00002206 
  4989.7   0.00001882   0.00001657   0.00000415   0.00003494 
  4995.0   0.00003410   0.00001632   0.00000440   0.00001509 
  5000.2   0.00001863   0.00001796   0.00000549   0.00001249 
  5005.5   0.00003541   0.00001742   0.00001125   0.00001687 
  5010.8   0.00002744   0.00001733   0.00001056   0.00002693 
  5016.1   0.00000496   0.00001002   0.00000716   0.00001980 
  5021.3   0.00001747   0.00001924   0.00000196   0.00001233 
  5026.6   0.00003559   0.00002722   0.00000631   0.00000882 
  5031.9   0.00000622   0.00001566   0.00000714   0.00001806 
  5037.1   0.00001889   0.00001920   0.00000496   0.00001981 
  5042.4   0.00002002   0.00002020   0.00000027   0.00001235 
  5047.7   0.00001474   0.00000961   0.00000488   0.00001638 
  5053.0   0.00001564   0.00001684   0.00001080   0.00001441 
  5058.2   0.00001087   0.00001193   0.00000379   0.00002706 
  5063.5   0.00001473   0.00000692   0.00000497   0.00002125 
  5068.8   0.00001944   0.00002211   0.00000773   0.00002080 
  5074.0   0.00001347   0.00002961   0.00000591   0.00001967 
  5079.3   0.00001428   0.00001866   0.00000421   0.00000278 
  5084.6   0.00001260   0.00001577   0.00000395   0.00001277 
  5089.9   0.00001537   0.00001951   0.00001311   0.00002333 
  5095.1   0.00001336   0.00002124   0.00000993   0.00002746 
  5100.4   0.00002917   0.00002014   0.00000556   0.00001551 
  5105.7   0.00002075   0.00001937   0.00001000   0.00000645 
  5110.9   0.00001787   0.00002168   0.00000833   0.00001074 
  5116.2   0.00001847   0.00001477   0.00000146   0.00001169 
  5121.5   0.00002665   0.00002151   0.00000630   0.00001092 
  5126.8   0.00001470   0.00001928   0.00000565   0.00000420 
  5132.0   0.00000620   0.00002099   0.00000715   0.00000971 
  5137.3   0.00001570   0.00002936   0.00000850   0.00001726 
  5142.6   0.00002435   0.00002467   0.00000474   0.00001689 
  5147.9   0.00003583   0.00001892   0.00000954   0.00001374 
  5153.1   0.00001834   0.00000789   0.00001307   0.00002836 
  5158.4   0.00001972   0.00001486   0.00000970   0.00003622 
  5163.7   0.00001498   0.00001562   0.00001244   0.00003553 
  5168.9   0.00001590   0.00000665   0.00001803   0.00002355 
  5174.2   0.00000537   0.00001891   0.00000698   0.00002303 
  5179.5   0.00001747   0.00002578   0.00000458   0.00002333 
  5184.8   0.00002905   0.00002894   0.00001000   0.00000881 
  5190.0   0.00001604   0.00002575   0.00001713   0.00000809 
  5195.3   0.00000924   0.00002248   0.00001345   0.00001453 
  5200.6   0.00002919   0.00002262  -0.00000172   0.00002447 
  5205.9   0.00003509   0.00001340   0.00000396   0.00001366 
  5211.1   0.00002449   0.00000828   0.00000392   0.00001148 
  5216.4   0.00002262   0.00001070   0.00000124   0.00000972 
  5221.7   0.00001831   0.00002040   0.00001524   0.00000806 
  5226.9   0.00001305   0.00002219   0.00001535   0.00001328 
  5232.2   0.00002350   0.00001521   0.00000901   0.00000402 
  5237.5   0.00002324   0.00001439   0.00000975   0.00000835 
  5242.8   0.00001445   0.00001603   0.00000656   0.00001921 
  5248.0   0.00002695   0.00001480   0.00001298   0.00001664 
  5253.3   0.00001448   0.00001700   0.00000226   0.00000642 
  5258.6   0.00002047   0.00001925   0.00000643   0.00002006 
  5263.8   0.00001537   0.00003318   0.00000837   0.00002930 
  5269.1   0.00003175   0.00002804   0.00000836   0.00002646 
  5274.4   0.00003433   0.00001656   0.00000745   0.00003657 
  5279.7   0.00002809   0.00002103   0.00000359   0.00001590 
  5284.9   0.00001935   0.00001489   0.00001015   0.00001897 
  5290.2   0.00000889   0.00001674   0.00000275   0.00001738 
  5295.5   0.00001125   0.00003559   0.00000503   0.00001488 
  5300.7   0.00001728   0.00003153   0.00001031   0.00002888 
  5306.0   0.00004281   0.00002064   0.00000837   0.00001545 
  5311.3   0.00001973   0.00002096   0.00000095   0.00001451 
  5316.6   0.00002438   0.00001122   0.00000310   0.00002218 
  5321.8   0.00002441   0.00002170   0.00000633   0.00001991 
  5327.1   0.00002502   0.00001979   0.00001543   0.00002035 
  5332.4   0.00002722   0.00001021   0.00000287   0.00002382 
  5337.7   0.00001752   0.00001987   0.00000310   0.00001950 
  5342.9   0.00001668   0.00001108   0.00000905   0.00002691 
  5348.2   0.00002119   0.00002228   0.00000755   0.00001676 
  5353.5   0.00001749   0.00002603   0.00000360   0.00000718 
  5358.7   0.00002550   0.00001240   0.00000452   0.00001782 
  5364.0   0.00002821   0.00001079   0.00001319   0.00002367 
  5369.3   0.00003391   0.00002726   0.00001216   0.00000660 
  5374.6   0.00001555   0.00002600   0.00000193   0.00000896 
  5379.8   0.00001950   0.00001568   0.00000864   0.00001119 
  5385.1   0.00002341   0.00002324   0.00002134   0.00001388 
  5390.4   0.00001681   0.00001705   0.00001502   0.00001648 
  5395.6   0.00002481   0.00002101   0.00000339   0.00002603 
  5400.9   0.00001880   0.00002401   0.00000158   0.00003258 
  5406.2   0.00001515   0.00001814   0.00000025   0.00002115 
  5411.4   0.00003041   0.00001283   0.00000429   0.00001600 
  5416.7   0.00001087   0.00001548   0.00000839   0.00001309 
  5422.0   0.00004260   0.00002542   0.00000495   0.00001580 
  5427.3   0.00004500   0.00002791   0.00000940   0.00002831 
  5432.5   0.00002275   0.00002523   0.00000769   0.00001916 
  5437.8   0.00001997   0.00001986   0.00000202   0.00001220 
  5443.1   0.00003527   0.00000951   0.00000498   0.00001803 
  5448.4   0.00002143   0.00001987   0.00000962   0.00002038 
  5453.6   0.00002519   0.00002779   0.00001549   0.00001437 
  5458.9   0.00001869   0.00001075   0.00000706   0.00001178 
  5464.2   0.00004138   0.00000982   0.00000927   0.00001512 
  5469.4   0.00002275   0.00001211   0.00001044   0.00000888 
  5474.7   0.00004253   0.00001759   0.00000035   0.00001870 
  5480.0   0.00003858   0.00002468   0.00000553   0.00003117 
  5485.3   0.00003148   0.00001812   0.00000827   0.00003586 
  5490.5   0.00000676   0.00001554   0.00000025   0.00002460 
  5495.8   0.00002945   0.00001754   0.00000113   0.00002061 
  5501.1   0.00004109   0.00001739   0.00000369   0.00000780 
  5506.4   0.00004003   0.00001998   0.00000988   0.00001297 
  5511.6   0.00002320   0.00001664   0.00001354   0.00002038 
  5516.9   0.00001467   0.00001132   0.00001216   0.00001621 
