#wave   V1            V2         V3          V4
#
3985.36 0.000137849 7.86073e-05 6.42484e-05 8.41813e-05
3990.64 9.38305e-05 0.000108831 6.34192e-05 0.000130193
3995.91 0.000142413 0.000105571 3.4608e-05 8.74462e-05
4001.18 0.000121038 8.85785e-05 5.03274e-05 0.000142132
4006.45 0.00014141 0.000117476 0.000114903 0.000119426
4011.72 0.000119141 0.000215747 5.90899e-05 0.000110899
4017 0.000113372 0.000176023 5.59763e-05 5.9581e-05
4022.27 8.91398e-05 9.85023e-05 5.70915e-05 0.000132308
4027.54 9.46347e-05 0.000125129 7.24382e-05 7.46136e-05
4032.81 8.30486e-05 0.000178842 9.15317e-05 0.000106682
4038.09 0.000120215 8.21624e-05 9.80729e-05 6.47616e-05
4043.36 9.61324e-05 0.000127413 3.5584e-05 0.000133387
4048.63 8.64058e-05 0.000105002 8.20844e-05 5.39022e-05
4053.9 5.6834e-05 6.60617e-05 0.000159638 9.69522e-05
4059.17 8.55967e-05 0.000172032 0.000108769 0.00014986
4064.45 0.000125335 0.000127551 8.93686e-05 0.000140833
4069.72 7.30843e-05 0.000140225 0.000103194 0.0001227
4074.99 7.96944e-05 0.000144521 0.000142573 8.30806e-05
4080.26 6.99239e-05 0.00012266 5.33102e-05 0.000135118
4085.53 0.000159476 0.000120056 6.8471e-05 0.000138388
4090.81 0.000158388 0.000143697 7.45785e-05 7.60039e-05
4096.08 0.000134107 0.00018532 6.55906e-05 0.000142483
4101.35 0.00011333 0.000183492 8.42653e-05 0.000104341
4106.62 0.00012531 9.57642e-05 0.000102561 0.000112293
4111.89 0.000134659 6.46377e-05 6.65484e-05 9.31883e-05
4117.17 0.000138367 0.000124234 8.72524e-05 0.000147006
4122.44 0.000155194 0.000106888 8.58548e-05 0.000172215
4127.71 0.000132295 0.000101133 6.65855e-05 0.000122457
4132.98 0.000130027 0.000110566 0.000119953 0.00012469
4138.25 0.000120372 9.82719e-05 7.08864e-05 0.000107864
4143.53 0.000168388 0.000151371 5.93345e-05 0.000120525
4148.8 0.00010665 0.000144347 0.000152556 0.000104334
4154.07 9.37047e-05 5.82006e-05 0.00010656 6.34263e-05
4159.34 8.50602e-05 0.000145331 0.000210398 5.99343e-05
4164.61 2.98212e-05 0.00013058 0.000105415 4.82859e-05
4169.89 0.000117532 0.000140446 0.000109214 6.72985e-05
4175.16 0.000110046 0.000101915 9.65129e-05 8.90854e-05
4180.43 0.000146617 0.000102588 8.25949e-05 0.000126604
4185.7 8.5213e-05 0.000153606 7.52214e-05 0.000135001
4190.97 9.33875e-05 7.32783e-05 9.52987e-05 9.17392e-05
4196.25 0.00012328 0.000176839 7.52049e-05 0.000139157
4201.52 0.000154917 0.000180122 9.17369e-05 0.000141303
4206.79 6.49683e-05 0.000184751 0.000133599 6.31271e-05
4212.06 0.000138207 0.000272415 3.52085e-05 0.000212439
