#  Table ccd.tab  Fri 15:08:38 04-Apr-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
         1615.278      0.00156842
         1617.102     0.001592175
         1618.928       0.0016159
         1620.757     0.001641082
         1622.588     0.001668317
          1624.42     0.001695534
         1626.254     0.001722715
          1628.09     0.001749887
          1629.93     0.001777052
         1631.771     0.001807369
         1633.614     0.001837809
         1635.458     0.001868243
         1637.305     0.001898675
         1639.154     0.001929099
         1641.005     0.001961977
         1642.859      0.00199698
         1644.714     0.002031985
         1646.572     0.002067009
          1648.43     0.002102035
         1650.293     0.002135898
         1652.156     0.002163249
         1654.022     0.002190636
          1655.89     0.002218059
          1657.76     0.002245514
         1659.633     0.002273005
         1661.507      0.00230268
         1663.383     0.002332938
         1665.261     0.002363237
         1667.142     0.002393626
         1669.025     0.002424057
         1670.911     0.002455909
         1672.796     0.002489227
         1674.685     0.002522662
         1676.578     0.002556198
         1678.471     0.002589801
         1680.367     0.002624061
         1682.265     0.002660712
         1684.165     0.002697475
         1686.067     0.002734346
          1687.97     0.002771309
         1689.877      0.00280842
         1691.786     0.002848454
         1693.696     0.002888816
         1695.609     0.002929319
         1697.524     0.002969958
         1699.441     0.003010733
          1701.36     0.003048057
         1703.282     0.003084036
         1705.205     0.003120148
         1707.131     0.003156392
         1709.059     0.003192768
         1710.989     0.003230446
         1712.922     0.003269384
         1714.856     0.003308474
         1716.793     0.003347718
         1718.731     0.003387114
         1720.673     0.003427484
         1722.616     0.003469485
         1724.561     0.003511679
         1726.509     0.003554047
         1728.459     0.003596606
         1730.411     0.003639793
         1732.365      0.00368502
         1734.321      0.00373044
          1736.28     0.003776052
         1738.241     0.003821856
         1740.204       0.0038681
         1742.169     0.003916675
         1744.137      0.00396546
         1746.107      0.00401448
         1748.078     0.004063663
         1750.052     0.004112863
         1752.029     0.004154254
         1754.007      0.00419582
         1755.988     0.004237561
         1757.973     0.004279522
         1759.957     0.004321577
         1761.944     0.004365323
         1763.934     0.004409291
         1765.926     0.004453445
         1767.922      0.00449783
         1769.919     0.004542361
         1771.918     0.004588597
         1773.917     0.004635049
          1775.92     0.004681744
         1777.928     0.004728685
         1779.936     0.004775783
         1781.945     0.004824688
         1783.958     0.004873908
         1785.973     0.004923313
          1787.99     0.004972932
         1790.008      0.00502275
         1792.031     0.005074597
         1794.055     0.005126647
         1796.081     0.005178922
         1798.108     0.005231397
         1800.139     0.005283682
         1802.173     0.005330162
         1804.208     0.005376814
         1806.246     0.005423661
         1808.286     0.005470708
         1810.328     0.005518164
         1812.372     0.005566938
         1814.419     0.005615917
         1816.467     0.005665079
         1818.519     0.005714497
         1820.573     0.005764487
         1822.629     0.005815689
         1824.688      0.00586711
         1826.747     0.005918724
         1828.811     0.005970611
         1830.877     0.006023299
         1832.944     0.006077042
         1835.014     0.006131018
         1837.087     0.006185223
         1839.161     0.006239659
         1841.238     0.006295223
         1843.318     0.006351634
           1845.4      0.00640829
         1847.484     0.006465184
          1849.57     0.006522323
         1851.659     0.006576608
          1853.75     0.006630312
         1855.843     0.006684243
         1857.939     0.006738402
         1860.038     0.006792811
         1862.138     0.006848709
         1864.242      0.00690487
         1866.347     0.006961214
         1868.454      0.00701782
         1870.564     0.007075022
         1872.677     0.007133445
         1874.793     0.007192139
          1876.91     0.007251056
          1879.03     0.007310219
         1881.151     0.007370355
         1883.275     0.007431405
         1885.403     0.007492746
         1887.532     0.007554315
         1889.664     0.007616145
         1891.798     0.007679442
         1893.935     0.007743235
         1896.073     0.007807299
         1898.215     0.007871631
         1900.359     0.007935417
         1902.505     0.007995374
         1904.653     0.008055578
         1906.804     0.008116031
         1908.958     0.008176734
         1911.114     0.008238292
         1913.272     0.008300675
         1915.432     0.008363316
         1917.597     0.008426247
         1919.762     0.008489406
         1921.929     0.008553888
           1924.1     0.008618804
         1926.273     0.008683988
         1928.449     0.008749473
         1930.627     0.008815555
         1932.807      0.00888281
          1934.99     0.008950343
         1937.174     0.009018122
         1939.363     0.009086249
         1941.553     0.009155548
         1943.746     0.009225516
         1945.941     0.009295775
         1948.139      0.00936632
         1950.339     0.009436481
         1952.542     0.009503196
         1954.747     0.009570178
         1956.954      0.00963743
         1959.164     0.009704954
         1961.378     0.009773473
         1963.592     0.009842621
         1965.809     0.009912081
          1968.03     0.009981822
         1970.252      0.01005197
         1972.478      0.01012344
         1974.706      0.01019517
         1976.936      0.01026719
         1979.168      0.01033946
         1981.403      0.01041277
         1983.641      0.01048686
         1985.882      0.01056121
         1988.124      0.01063585
          1990.37      0.01071099
         1992.617      0.01078743
         1994.868      0.01086419
         1997.121      0.01094125
         1999.376      0.01101861
         2001.634      0.01110604
         2003.895      0.01119758
         2006.158      0.01128949
         2008.423      0.01138178
         2010.692      0.01147502
         2012.962      0.01156995
         2015.236      0.01166528
         2017.513      0.01176104
          2019.79      0.01185711
         2022.071      0.01195535
         2024.354      0.01205417
         2026.641       0.0121534
         2028.931      0.01225309
         2031.221      0.01235412
         2033.516      0.01245658
         2035.812      0.01255941
          2038.11      0.01266261
         2040.413       0.0127667
         2042.716      0.01287276
         2045.024      0.01297935
         2047.334      0.01308633
         2049.646      0.01319376
         2051.961      0.01328561
         2054.277      0.01337489
         2056.598       0.0134646
         2058.921      0.01355461
         2061.246      0.01364555
         2063.574      0.01373733
         2065.904      0.01382946
         2068.238      0.01392195
         2070.573      0.01401505
         2072.912      0.01410929
         2075.253       0.0142039
         2077.596      0.01429885
         2079.944      0.01439422
         2082.292       0.0144909
         2084.643        0.014588
         2086.997      0.01468548
         2089.354      0.01478332
         2091.715      0.01488235
         2094.076      0.01498195
         2096.442        0.015082
         2098.809      0.01518234
         2101.179      0.01527941
         2103.553      0.01537314
         2105.927      0.01546712
         2108.307      0.01556153
         2110.688      0.01565645
         2113.072       0.0157522
         2115.458      0.01584831
         2117.846       0.0159447
         2120.239       0.0160416
         2122.633      0.01613943
         2125.029      0.01623755
          2127.43      0.01633612
         2129.832      0.01643493
         2132.238       0.0165348
         2134.646      0.01663501
         2137.056      0.01673553
         2139.472      0.01683654
         2141.885      0.01693818
         2144.306      0.01704047
         2146.727      0.01714305
          2149.15      0.01724594
          2151.58      0.01734656
          2154.01      0.01744594
         2156.442      0.01754566
         2158.878       0.0176457
         2161.313       0.0177462
         2163.757       0.0178474
         2166.199      0.01794878
         2168.647      0.01805061
         2171.096      0.01815287
         2173.548      0.01825566
         2176.002      0.01835879
         2178.458       0.0184622
          2180.92      0.01856615
         2183.383      0.01867059
         2185.849      0.01877534
         2188.317      0.01888043
         2190.789      0.01898593
