2.50000 -18.8120 -18.5709 -18.7450 -18.5511 -17.6056 -17.1184 -19.4494 -19.5418 -19.1553 -18.5826 -18.5895 -17.4132 -16.9647 -18.8076 -19.6658 -17.9152
2.56250 -18.8343 -18.5939 -18.7698 -18.5908 -17.6500 -17.1512 -19.4717 -19.5641 -19.1775 -18.6049 -18.6307 -17.4560 -16.9855 -18.8194 -19.7038 -17.9267
2.62500 -18.8549 -18.6150 -18.7922 -18.6253 -17.6900 -17.1814 -19.4922 -19.5846 -19.1981 -18.6254 -18.6666 -17.4950 -17.0048 -18.8302 -19.7382 -17.9372
2.68750 -18.8738 -18.6343 -18.8125 -18.6553 -17.7258 -17.2092 -19.5111 -19.6035 -19.2170 -18.6443 -18.6976 -17.5305 -17.0226 -18.8400 -19.7695 -17.9467
2.75000 -18.8912 -18.6520 -18.8310 -18.6815 -17.7581 -17.2349 -19.5285 -19.6210 -19.2344 -18.6618 -18.7248 -17.5628 -17.0391 -18.8491 -19.7980 -17.9557
2.81250 -18.9072 -18.6683 -18.8479 -18.7046 -17.7871 -17.2587 -19.5446 -19.6370 -19.2505 -18.6778 -18.7486 -17.5923 -17.0543 -18.8575 -19.8240 -17.9638
2.87500 -18.9221 -18.6833 -18.8633 -18.7250 -17.8134 -17.2807 -19.5594 -19.6518 -19.2653 -18.6926 -18.7696 -17.6193 -17.0685 -18.8651 -19.8478 -17.9714
2.93750 -18.9358 -18.6971 -18.8774 -18.7432 -17.8372 -17.3011 -19.5731 -19.6655 -19.2790 -18.7063 -18.7883 -17.6440 -17.0816 -18.8722 -19.8696 -17.9784
3.00000 -18.9484 -18.7099 -18.8904 -18.7594 -17.8588 -17.3200 -19.5858 -19.6782 -19.2916 -18.7190 -18.8049 -17.6666 -17.0938 -18.8788 -19.8896 -17.9849
3.06250 -18.9601 -18.7216 -18.9024 -18.7740 -17.8784 -17.3376 -19.5975 -19.6899 -19.3033 -18.7307 -18.8198 -17.6874 -17.1052 -18.8849 -19.9081 -17.9910
3.12500 -18.9710 -18.7325 -18.9134 -18.7872 -17.8964 -17.3540 -19.6084 -19.7008 -19.3142 -18.7416 -18.8332 -17.7066 -17.1158 -18.8906 -19.9251 -17.9966
3.18750 -18.9811 -18.7427 -18.9237 -18.7991 -17.9129 -17.3693 -19.6184 -19.7108 -19.3243 -18.7517 -18.8453 -17.7242 -17.1258 -18.8959 -19.9408 -18.0019
3.25000 -18.9904 -18.7521 -18.9332 -18.8100 -17.9279 -17.3835 -19.6278 -19.7202 -19.3337 -18.7610 -18.8564 -17.7405 -17.1351 -18.9009 -19.9553 -18.0069
3.31250 -18.9992 -18.7608 -18.9420 -18.8199 -17.9418 -17.3968 -19.6365 -19.7289 -19.3424 -18.7697 -18.8664 -17.7557 -17.1438 -18.9055 -19.9688 -18.0115
3.37500 -19.0073 -18.7689 -18.9502 -18.8290 -17.9546 -17.4093 -19.6446 -19.7371 -19.3505 -18.7779 -18.8756 -17.7697 -17.1519 -18.9098 -19.9814 -18.0158
3.43750 -19.0149 -18.7765 -18.9578 -18.8373 -17.9663 -17.4209 -19.6522 -19.7446 -19.3581 -18.7854 -18.8840 -17.7826 -17.1596 -18.9139 -19.9931 -18.0199
3.50000 -19.0219 -18.7836 -18.9649 -18.8451 -17.9773 -17.4318 -19.6593 -19.7517 -19.3652 -18.7925 -18.8919 -17.7947 -17.1669 -18.9178 -20.0040 -18.0238
3.56250 -19.0286 -18.7903 -18.9716 -18.8522 -17.9874 -17.4420 -19.6659 -19.7583 -19.3718 -18.7992 -18.8990 -17.8059 -17.1737 -18.9213 -20.0141 -18.0273
3.62500 -19.0348 -18.7965 -18.9778 -18.8588 -17.9967 -17.4517 -19.6721 -19.7646 -19.3780 -18.8054 -18.9057 -17.8164 -17.1801 -18.9248 -20.0236 -18.0308
3.68750 -19.0406 -18.8023 -18.9837 -18.8650 -18.0055 -17.4607 -19.6780 -19.7704 -19.3838 -18.8112 -18.9119 -17.8262 -17.1862 -18.9280 -20.0325 -18.0340
3.75000 -19.0461 -18.8078 -18.9892 -18.8707 -18.0137 -17.4692 -19.6835 -19.7759 -19.3893 -18.8167 -18.9176 -17.8353 -17.1919 -18.9311 -20.0409 -18.0370
3.81250 -19.0513 -18.8130 -18.9944 -18.8761 -18.0213 -17.4773 -19.6886 -19.7810 -19.3945 -18.8218 -18.9230 -17.8439 -17.1973 -18.9339 -20.0487 -18.0399
3.87500 -19.0561 -18.8178 -18.9992 -18.8811 -18.0284 -17.4849 -19.6935 -19.7859 -19.3993 -18.8267 -18.9281 -17.8519 -17.2024 -18.9366 -20.0561 -18.0427
3.93750 -19.0607 -18.8224 -19.0038 -18.8858 -18.0350 -17.4920 -19.6981 -19.7905 -19.4039 -18.8313 -18.9327 -17.8594 -17.2073 -18.9392 -20.0630 -18.0453
4.00000 -19.0651 -18.8268 -19.0082 -18.8902 -18.0413 -17.4988 -19.7024 -19.7948 -19.4083 -18.8356 -18.9372 -17.8665 -17.2119 -18.9417 -20.0696 -18.0478
