ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
3-46.0           452.0  219.0 36:49.565 13:05.01  29.24  29.57    ...  >0.70  -0.27   5.80   0.06  0.09   0.78   23          S
3-47.0          1030.0  216.0 36:52.579 13:14.29  29.02  29.54 <-1.00  >0.41   0.42   6.09   0.08  0.18   0.42   28          S
3-48.0          1712.0  215.0 36:56.143 13:25.15  26.91  26.98 >-0.45   1.50   1.66  41.13   0.60  0.19   0.88  115          S
3-49.0           101.0  223.0 36:47.739 12:59.29  28.44  28.74 >-0.33   0.40   0.25   6.97   0.06  0.08   0.81  174         BS
3-50.0           409.0  222.0 36:49.347 13:04.21  28.27  28.61 >-0.30   0.58   0.35  10.09   0.16  0.14   0.70   76          S
3-51.0           291.0  219.0 36:48.723 13:02.45  25.97  26.03   0.84   1.01   0.52  58.03   0.51  0.16   0.87   66          S
3-52.0           349.0  231.0 36:49.054 13:02.93  29.32  29.94    ...  >0.39  -0.12   4.76   0.05  0.09   0.50  151          S
3-53.0          1170.0  230.0 36:53.343 13:16.00  28.70  28.71 >-0.10   0.37  -0.04   9.11   0.12  0.11   0.95   36          S
3-54.0           906.0  231.0 36:51.965 13:11.77  29.24  29.87 >-0.57   0.08   0.67   5.99   0.07  0.09   0.65  147          S
3-55.0           832.0  233.0 36:51.583 13:10.53  29.66  30.11 >-0.67   0.08   0.23   4.53   0.05  0.09   0.41   90          S
3-56.0          1069.0  231.0 36:52.817 13:14.36  26.64  26.65   0.34  -0.04   0.39  35.39   0.41  0.18   0.59   47          S
3-57.0           967.0  237.0 36:52.298 13:12.52  29.91  29.91  >0.06  -0.32   0.17   5.93   0.04  0.07   0.87  119          S
3-58.0           166.0  235.0 36:48.106 12:59.88  29.32  29.74  -0.82   0.29   0.44   5.59   0.08  0.11   0.52  166          S
3-59.0           821.0  242.0 36:51.546 13:10.02  28.50  28.75 >-0.31   0.52   0.25   9.52   0.13  0.14   0.44   32          S
3-60.0          1720.0  245.0 36:56.253 13:24.18  29.81  30.12 >-0.59  -0.05   0.42   5.09   0.05  0.07   0.88  156          S
3-61.0          1316.0  247.0 36:54.145 13:17.70  29.79  29.78    ...  >0.46  -0.04   5.74   0.06  0.08   0.69  100          S
3-62.0           410.0  247.0 36:49.409 13:03.32  28.30  28.58 >-0.34   0.55   0.15  10.17   0.16  0.23   0.26   82          S
3-63.0           101.0  248.0 36:47.796 12:58.37  27.71  27.94    ...  >1.44  -0.61  10.74   0.11  0.10   0.87   97         BS
3-64.0           710.0  253.0 36:50.990 13:07.86  29.55  29.96    ...  >0.35   0.45   5.58   0.05  0.09   0.53   88          S
3-65.0           927.0  255.0 36:52.129 13:11.23  29.60  30.05 >-0.47  -0.31   1.39   6.33   0.08  0.10   0.60    4          S
3-66.0          1950.0  258.0 36:57.485 13:27.35  28.54  28.56    ...  >1.10   0.59  12.87   0.12  0.10   0.68  121          S
3-67.0          2003.0  258.0 36:57.762 13:28.19  29.87  29.92    ... >-0.23   0.81   3.96   0.08  0.11   0.59  171          S
3-68.0          1367.0  265.0 36:54.452 13:17.85  29.73  29.95    ...  >0.41   0.10   5.23   0.04  0.07   0.74   63          S
3-69.0           194.0  263.0 36:48.316 12:59.30  28.37  28.56 >-0.08   0.36  -0.16   8.69   0.15  0.13   0.90  139          S
3-70.0           914.0  271.0 36:52.098 13:10.44  28.31  28.42  >0.58   0.15  -0.35  11.39   0.11  0.09   0.98  107          S
3-71.0          1063.0  274.0 36:52.883 13:12.70  29.37  30.00    ...  >0.25  -0.24   4.16   0.05  0.09   0.64   25          S
3-72.0           564.0  275.0 36:50.277 13:04.74 >30.71 >30.71    ...    ...  >1.29   4.21   0.05  0.12   0.31   87          S
3-73.0          1911.0  274.0 36:57.317 13:26.15  28.96  29.14    ...  >0.58   0.06   6.24   0.11  0.15   0.44   62          S
3-75.0           938.0  275.0 36:52.232 13:10.68  27.95  27.93    ...  >1.43   0.67  17.75   0.23  0.15   0.66  134          S
3-76.0           445.0  283.0 36:49.673 13:02.56  28.62  28.66  >0.87  -0.41   0.07  11.06   0.10  0.10   0.63   11          S
3-77.0          1587.0  269.0 36:55.612 13:21.19  26.26  26.41  >0.85   0.61   0.36  32.63   0.75  0.27   0.70  143          S
3-78.0           577.0  289.0 36:50.377 13:04.44  29.47  29.76    ...  >0.51  -0.26   5.08   0.06  0.10   0.40   71          S
3-79.0          1307.0  280.0 36:54.173 13:16.35  24.90  24.93   0.39   0.17   0.50 105.11   1.09  0.25   0.67   29          S
3-80.0          1520.0  291.0 36:55.311 13:19.32  29.30  29.50 >-0.52   0.43   0.34   8.01   0.06  0.08   0.88  175          S
3-81.0          1367.0  291.0 36:54.511 13:16.90  28.23  28.52  >0.07   0.35   0.55  12.72   0.15  0.12   0.86   54          S
3-82.0          1469.0  285.0 36:55.031 13:18.73  26.68  26.74 >-0.34   1.57   1.43  39.80   0.72  0.22   0.78   67          S
3-83.0          1807.0  285.0 36:56.798 13:24.10  25.60  25.69  >1.71   0.21   0.13  46.11   1.07  0.47   0.35   50           
3-83.1          1807.0  285.0 36:56.798 13:24.10  25.85  26.34   1.57   0.20   0.07  57.46   0.25  0.20   0.50  122          S
3-83.2          1831.0  278.0 36:56.908 13:24.73  27.31  27.79  >0.91   0.22   0.22  22.98   0.13  0.14   0.61   77          S
3-84.0          2002.0  291.0 36:57.832 13:26.97 >30.49 >30.49    ...    ...  >1.08   2.80   0.05  0.18   0.22    2         BS
3-85.0           766.0  305.0 36:51.401 13:06.85  29.22  29.61 >-0.35  -0.02   0.21   5.77   0.07  0.10   0.79   81          S
3-86.0          1911.0  301.0 36:57.378 13:25.16  28.20  28.23  >0.48  -0.04   0.05  10.89   0.20  0.15   0.56    7          S
3-87.0           886.0  310.0 36:52.040 13:08.57  29.27  29.55  >0.13  -0.12  -0.53   5.56   0.05  0.08   0.95   40          S
3-88.0            85.0  316.0 36:47.867 12:55.64  28.26  28.73 >-0.66   1.27   0.22   6.99   0.05  0.09   0.84   56         BS
3-89.0          1171.0  312.0 36:53.534 13:13.02  28.61  28.55  >0.51  -0.21   0.14  11.07   0.15  0.17   0.44  115          S
3-90.0           227.0  317.0 36:48.611 12:57.86  26.97  27.02  >1.24   0.34   0.02  30.48   0.24  0.12   0.76  126          S
3-91.0           885.0  325.0 36:52.069 13:08.01  28.41  28.61  >0.07   0.28  -0.09   9.30   0.13  0.14   0.69   84          S
3-92.0          1120.0  326.0 36:53.299 13:11.70  29.37  29.68    ...  >0.18   1.14   6.76   0.10  0.13   0.69   37          S
3-93.0            88.0  328.0 36:47.910 12:55.25  25.88  26.78  >0.57   0.51   0.89  25.78   0.46  0.29   0.40   42          B
3-93.1            88.0  328.0 36:47.910 12:55.25  26.02  26.62  >0.61   0.99   0.34  25.62   0.26  0.22   0.33   23         BS
3-93.2           107.0  324.0 36:48.000 12:55.70  28.16  28.75 >-0.72   1.03   0.35   7.47   0.06  0.09   0.58   75         BS
3-94.0          1415.0  327.0 36:54.844 13:16.34  29.92  29.90    ...  >0.28   0.52   5.16   0.06  0.09   0.49  129          S
3-95.0          1012.0  332.0 36:52.748 13:09.77  29.06  29.07  -0.24   0.51  -0.14   9.19   0.07  0.08   0.83   93          S
3-96.0          1396.0  333.0 36:54.758 13:15.82 >30.90 >30.90    ...    ...  >1.06   3.37   0.04  0.07   0.52  137          S
3-97.0           722.0  341.0 36:51.253 13:04.84  29.33  29.61    ...  >0.47 <-0.39   5.07   0.07  0.15   0.36   71          S
3-98.0           277.0  336.0 36:48.915 12:57.96  26.89  26.92   0.33   0.03   0.56  34.68   0.33  0.16   0.74    7          S
3-99.0          1133.0  345.0 36:53.410 13:11.21  28.99  29.83    ...  >0.44 <-0.26   4.48   0.06  0.12   0.25   57          S
3-100.0          119.0  342.0 36:48.103 12:55.23  28.27  28.57    ...  >0.86   0.47   8.35   0.12  0.15   0.59  107          S
3-101.0          646.0  344.0 36:50.862 13:03.52  29.19  29.59    ...  >0.46   0.08   5.67   0.08  0.12   0.57  119          S
3-102.0         1353.0  348.0 36:54.567 13:14.59  30.10  30.34    ...  >0.04   0.70   4.70   0.04  0.07   0.77   62          S
3-103.0         1028.0  351.0 36:52.875 13:09.33  30.42  30.57    ... >-0.22   1.07   4.52   0.04  0.09   0.46   34          S
3-104.0         1475.0  352.0 36:55.214 13:16.38  28.16  28.40  >0.39   0.06  -0.18   9.70   0.17  0.21   0.40   12          S
3-105.0         1850.0  350.0 36:57.170 13:22.40  28.52  28.86 >-0.44   0.50   0.08   8.45   0.12  0.13   0.44  142          S
3-106.0         2000.0  352.0 36:57.959 13:24.71  30.26  30.52    ... >-0.44   0.91   3.14   0.04  0.09   0.56    8          S
3-107.0         1309.0  345.0 36:54.330 13:14.01  25.21  25.27   0.25  -0.05   0.07  69.60   0.95  0.29   0.48   83          S
3-108.0           94.0  358.0 36:48.009 12:54.25  27.92  28.25 >-0.54   0.72  -0.14   7.99   0.11  0.18   0.42  174         BS
3-109.0          845.0  357.0 36:51.932 13:06.21  28.83  29.20    ...  >0.73   0.09   6.97   0.10  0.13   0.42   24          S
3-110.0          771.0  360.0 36:51.552 13:04.92  29.26  29.30 >-0.46   0.44   0.07   7.43   0.07  0.09   0.61   83          S
3-111.0         1689.0  364.0 36:56.360 13:19.34  28.48  28.81    ...  >1.06  -0.19   9.08   0.11  0.12   0.72  180          S
3-112.0          563.0  367.0 36:50.481 13:01.37  29.40  29.95 >-0.79   0.31 <-0.18   4.60   0.05  0.08   0.68   61          S
3-114.0          324.0  367.0 36:49.231 12:57.57  29.04  29.26    ...  >0.72   0.47   7.87   0.09  0.12   0.55   15          S
3-115.0          838.0  367.0 36:51.918 13:05.73  28.28  28.58    ...  >1.21   0.39  12.91   0.12  0.10   0.72   98          S
3-116.0          982.0  365.0 36:52.666 13:08.09  28.55  28.89  >0.18  -0.07  -0.04   7.78   0.13  0.15   0.44   27          S
3-117.0         1307.0  367.0 36:54.370 13:13.17  29.70  30.06    ...  >0.14   0.28   4.45   0.05  0.09   0.55  147          S
3-118.0         1380.0  356.0 36:54.727 13:14.73  24.38  24.42   1.49   0.26   0.13 145.36   1.15  0.19   0.69   15           
3-118.1         1380.0  356.0 36:54.727 13:14.73  24.41  24.55   1.44   0.21   0.10 222.38   0.42  0.14   0.87  173          S
3-118.2         1392.0  345.0 36:54.764 13:15.32  28.54  28.69  >0.08   0.72   0.13  17.45   0.05  0.09   0.61   94          S
3-119.0         1070.0  367.0 36:53.131 13:09.41  27.95  28.03  >0.66   0.14   0.21  16.96   0.17  0.11   0.92   35          S
3-120.0         1115.0  371.0 36:53.375 13:09.98  28.29  28.40 >-0.26   0.58   0.36  10.98   0.19  0.17   0.43    6          S
3-121.0          368.0  368.0 36:49.464 12:58.23 >30.94 >30.94    ...    ...  >1.00   3.10   0.04  0.12   0.22    4          S
3-122.0         1905.0  372.0 36:57.508 13:22.47  28.21  28.21  >0.69   0.06  -0.37  11.94   0.12  0.11   0.83  171          S
3-123.0          299.0  376.0 36:49.121 12:56.85  28.61  28.82 >-0.33   0.48  -0.26   7.98   0.13  0.15   0.38    7          S
3-124.0          337.0  376.0 36:49.320 12:57.45  27.59  27.75 >-0.26   0.94   0.47  16.42   0.31  0.19   0.70   42          S
3-125.0         1275.0  377.0 36:54.225 13:12.30  26.80  26.85  >1.03   0.58   0.12  29.52   0.35  0.18   0.88   24          S
3-126.0         1013.0  367.0 36:52.833 13:08.51  25.81  25.87   1.42   0.18  -0.01  46.64   0.75  0.45   0.24   90           
3-126.1         1025.0  370.0 36:52.902 13:08.59  26.52  27.38  >1.68   0.21   0.02  41.92   0.07  0.10   0.66   91          S
3-126.2         1013.0  367.0 36:52.833 13:08.51  26.61  27.47  >1.56   0.27  -0.06  39.59   0.07  0.10   0.52   81          S
3-127.0         1182.0  368.0 36:53.719 13:11.15  26.01  26.06   0.23   0.01   0.17  44.44   0.61  0.23   0.55  168          S
3-128.0         1891.0  382.0 36:57.457 13:21.89  29.67  30.15    ...  >0.20  -0.03   4.17   0.04  0.08   0.38  132          S
3-129.0          507.0  386.0 36:50.231 12:59.78  29.25  29.37 >-0.77   0.69   0.12   6.92   0.07  0.09   0.97   28          S
3-130.0          714.0  386.0 36:51.313 13:03.07  29.47  29.39    ...  >0.54   0.50   6.80   0.09  0.10   0.89  154          S
3-131.0         1304.0  384.0 36:54.393 13:12.50  29.01  29.45  -0.88   0.52 <-0.45   5.21   0.08  0.15   0.30  133          S
3-132.0         1426.0  375.0 36:55.010 13:14.77  24.33  24.38   0.38   0.69   0.50 134.16   1.67  0.30   0.63   27          S
3-133.0         1465.0  390.0 36:55.248 13:14.84  31.14  30.41    ... >-0.10   1.75   6.99   0.05  0.08   0.71   81          S
3-134.0          624.0  393.0 36:50.858 13:01.38  29.28  29.67    ...  >0.50   0.29   5.83   0.06  0.08   0.81   59          S
3-135.0          881.0  391.0 36:52.197 13:05.54  29.29  29.99    ...  >0.19   0.22   4.55   0.06  0.10   0.53  168          S
3-136.0          527.0  395.0 36:50.356 12:59.77  29.73  29.88    ...  >0.18   1.43   7.30   0.08  0.11   0.63   57          S
3-137.0          196.0  396.0 36:48.628 12:54.48  27.48  27.58  >0.65   0.39   0.07  19.77   0.20  0.12   0.95  109          S
3-138.0         1612.0  393.0 36:56.023 13:17.06  26.91  26.96  >1.00   0.33   0.08  24.21   0.42  0.23   0.45   87          S
3-139.0          441.0  403.0 36:49.925 12:58.11  28.83  29.11    ...  >0.57   1.05   9.83   0.14  0.18   0.33   94          S
3-140.0          308.0  403.0 36:49.229 12:56.00  27.77  27.85  >0.63   0.27  -0.01  16.09   0.20  0.13   0.69   96          S
3-141.0          150.0  420.0 36:48.442 12:52.87 >30.77 >30.77 >-0.76 <-0.51  >0.77   3.07   0.04  0.07   0.32   53          S
3-142.0          557.0  420.0 36:50.569 12:59.33  29.33  29.50 >-0.56   0.40   0.62   7.87   0.07  0.08   0.86  172          S
3-143.0          389.0  399.0 36:49.644 12:57.43  22.71  22.73   0.68   0.94   0.73 396.25   3.80  0.40   0.50  180          S
3-144.0         1088.0  425.0 36:53.356 13:07.58  28.06  28.18   0.10  -0.03  -0.07  13.84   0.17  0.14   0.70   91          S
3-145.0         1614.0  427.0 36:56.111 13:15.85  28.26  28.41    ...  >1.11   0.25  11.07   0.20  0.19   0.47  173          S
3-146.0          521.0  433.0 36:50.411 12:58.29  29.03  29.12  >0.07   0.08  -0.37   7.95   0.08  0.09   0.92  116          S
3-147.0          123.0  434.0 36:48.333 12:51.93  28.65  28.75 >-0.75   0.55   0.38   6.33   0.15  0.17   0.35   35          S
3-148.0         1322.0  436.0 36:54.605 13:10.89  29.06  29.22    ...  >0.55   0.39   6.92   0.12  0.14   0.81   46          S
3-149.0         1979.0  439.0 36:58.047 13:21.20  29.58  29.87    ...  >0.35   0.38   5.25   0.05  0.08   0.69   45          S
3-150.0          889.0  439.0 36:52.348 13:03.91  28.21  28.30  >0.53   0.29  -0.05  14.34   0.11  0.09   0.71   92          S
3-151.0         1392.0  439.0 36:54.977 13:11.89  30.00  30.33    ...  >0.17   0.16   4.61   0.04  0.08   0.44  146          S
3-152.0          573.0  439.0 36:50.696 12:58.90  29.38  29.72 >-0.73   0.49   0.12   5.83   0.06  0.08   0.89  150          S
3-153.0          335.0  438.0 36:49.450 12:55.15  27.65  27.82 >-0.05   0.49   1.03  16.31   0.42  0.31   0.39  101          S
3-155.0         1814.0  449.0 36:57.207 13:18.22  29.05  29.46    ...  >0.71 <-0.60   6.00   0.06  0.09   0.71  174          S
3-156.0          612.0  453.0 36:50.932 12:59.00  29.57  29.45    ...  >0.61   0.59   7.42   0.08  0.10   0.51   11          S
3-158.0          227.0  453.0 36:48.920 12:52.89  28.12  28.20  >0.76  -0.18   0.17  13.20   0.18  0.14   0.72   79          S
3-159.0          257.0  455.0 36:49.081 12:53.29  28.23  28.37 >-0.14   0.56   0.26  12.02   0.17  0.17   0.42   89          S
3-160.0          103.0  458.0 36:48.283 12:50.74  29.64  29.79    ...  >0.07  <0.06   3.50   0.04  0.18   0.23   61         BS
3-161.0         1145.0  432.0 36:53.670 13:08.23  21.90  21.91   3.32   1.19   0.70 871.53   3.55  0.16   0.82  111          S
3-162.0         1555.0  465.0 36:55.889 13:13.53  30.05  30.08 >-0.59   0.10   0.60   5.39   0.05  0.09   0.79   29          S
3-163.0         1274.0  464.0 36:54.417 13:09.11  29.06  29.24    ...  >0.66   0.67   8.79   0.09  0.10   0.69   72          S
3-164.0          884.0  463.0 36:52.376 13:02.95  26.00  26.07  >1.25   0.63   0.20  44.20   0.68  0.22   0.58   89          S
3-165.0          594.0  473.0 36:50.883 12:57.99  28.38  28.44  -0.42   0.08   0.38  12.12   0.15  0.12   0.69   34          S
3-166.0          552.0  477.0 36:50.673 12:57.17 >30.79 >30.79    ...    ...  >0.73   2.89   0.04  0.11   0.24   23          S
3-167.0         1643.0  475.0 36:56.371 13:14.56  28.65  29.00  >0.09  -0.27   0.98   8.93   0.17  0.17   0.75   29          S
3-168.0          615.0  481.0 36:51.011 12:58.03  28.25  28.28   0.08   0.06   0.26  14.53   0.13  0.11   0.81  138          S
3-169.0          504.0  486.0 36:50.442 12:56.08  29.19  29.32 >-0.25   0.06   0.18   6.08   0.09  0.14   0.40  142          S
3-170.0         1323.0  479.0 36:54.707 13:09.34  26.97  26.99  >0.21   1.04   0.60  30.82   0.39  0.18   0.60  138          S
3-171.0          280.0  498.0 36:49.299 12:52.09  28.81  29.16 >-0.41   0.25   0.55   8.59   0.11  0.11   0.56   20          S
3-172.0         1536.0  498.0 36:55.864 13:12.02  29.10  29.48 >-0.08  -0.04  -0.12   6.13   0.06  0.08   0.86  103          S
3-173.0         1254.0  501.0 36:54.397 13:07.44  29.40  29.71    ...  >0.57  -0.30   5.36   0.05  0.09   0.54  160          S
3-174.0          698.0  456.0 36:51.388 13:00.26  22.99  23.17   0.83   0.28   0.19 117.26  10.21  1.08   0.93  125         FS
3-175.0          101.0  484.0 36:48.331 12:49.76  22.66  22.69  >2.05   1.83   1.77 455.02   3.30  0.19   0.54   34          B
3-175.1          101.0  484.0 36:48.331 12:49.76  22.70  22.77  >2.48   1.87   1.83 696.43   1.61  0.15   0.98  123         BS
3-175.2          133.0  461.0 36:48.446 12:51.11  26.34  26.41  -0.04   1.07   0.51  27.26   0.51  0.27   0.77  177          S
3-177.0          282.0  509.0 36:49.334 12:51.72  28.51  28.86 >-0.45   0.46   0.33   7.75   0.16  0.24   0.37   81          S
3-178.0          128.0  510.0 36:48.531 12:49.24  30.26  30.60    ... >-0.53   1.46   4.51   0.05  0.08   0.71  154          S
3-179.0         1656.0  510.0 36:56.519 13:13.49  28.74  28.76    ...  >0.86   1.29  13.32   0.15  0.12   0.64   70          S
3-180.0         1463.0  489.0 36:55.462 13:11.19  23.22  23.27   0.79   1.01   1.21 231.87   6.03  1.02   0.24   95           
3-180.1         1463.0  489.0 36:55.462 13:11.19  24.02  24.08  >0.92   1.98   1.74 223.10   3.51  0.40   0.89   48          S
3-180.2         1414.0  464.0 36:55.149 13:11.33  23.93  23.99   0.48   0.55   0.25 196.56   1.49  0.30   0.71   66           
3-180.21        1414.0  464.0 36:55.149 13:11.33  24.01  24.30   0.38   0.53   0.24 266.44   0.48  0.21   0.59   90          S
3-180.22        1427.0  458.0 36:55.204 13:11.75  26.81  27.10  >1.52   0.74   0.11  54.42   0.07  0.10   0.54   53          S
3-181.0         1688.0  511.0 36:56.688 13:13.96  29.51  29.57    ...  >0.22   1.03   6.92   0.11  0.14   0.44  121          S
3-182.0         1551.0  511.0 36:55.972 13:11.78  28.44  28.62   0.24  -0.12   0.52  10.73   0.14  0.12   0.67  135          S
3-183.0          628.0  512.0 36:51.149 12:57.10  28.13  28.43  >0.43   0.02  -0.03  10.69   0.13  0.11   0.72   41          S
3-184.0         1851.0  501.0 36:57.518 13:16.91  25.54  25.57   0.85   0.65   0.35  63.65   0.86  0.29   0.41  180          S
3-185.0          213.0  515.0 36:48.987 12:50.41  29.61  29.76    ...  >0.35   0.51   5.66   0.07  0.15   0.37  144          S
3-186.0          951.0  521.0 36:52.858 13:01.90  29.45  29.90    ...  >0.28   0.18   4.92   0.06  0.09   0.55  177          S
3-187.0         1415.0  516.0 36:55.272 13:09.44  26.63  26.71   0.40   0.81   0.30  35.57   0.36  0.17   0.64  117          S
3-188.0         1435.0  521.0 36:55.388 13:09.58  28.58  28.68 >-0.42   0.69   0.12   8.60   0.14  0.17   0.68   51          S
3-189.0          300.0  523.0 36:49.460 12:51.49  28.15  28.26  >0.61   0.12  -0.54  12.76   0.11  0.10   0.53   20          S
3-190.0          935.0  523.0 36:52.779 13:01.57  30.12  30.37    ...  >0.00   0.82   4.59   0.04  0.08   0.76    4          S
3-191.0         1812.0  527.0 36:57.373 13:15.34  28.82  29.03    ...  >0.76   0.19   7.77   0.11  0.19   0.28   87          S
3-193.0         1393.0  522.0 36:55.171 13:08.88  26.40  26.62  >0.56   0.66   0.80  30.90   0.82  0.31   0.58   22          S
3-194.0         1050.0  535.0 36:53.407 13:02.96  30.37  30.58    ... >-0.35   1.57   5.06   0.05  0.08   0.49  110          S
