ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-78.0           914.0  252.0 36:48.744 12:32.18  29.22  29.37 >-0.50   0.47   0.11   7.27   0.07  0.10   0.71   83          S
4-79.0           460.0  251.0 36:47.743 12:48.85  28.45  28.69  >0.23   0.14   0.27  10.27   0.11  0.10   0.63  148          S
4-80.0          1857.0  254.0 36:50.824 11:57.55  29.34  29.63 >-0.61   0.49  -0.14   5.74   0.05  0.08   0.60  139          S
4-81.0          1887.0  252.0 36:50.901 11:56.48  27.52  27.62   0.05   0.63   0.61  20.54   0.24  0.16   0.67   75          S
4-82.0           794.0  259.0 36:48.442 12:36.47 >30.92 >30.92    ...    ...  >1.72   4.80   0.04  0.08   0.98   44          S
4-83.0          1653.0  252.0 36:50.383 12:05.06  26.15  26.21  >1.35   0.56   0.14  43.04   0.56  0.24   0.52   73          S
4-84.0          1848.0  254.0 36:50.804 11:57.88  29.99  30.27    ...  >0.19   0.49   4.78   0.04  0.10   0.35   68          S
4-85.0          1246.0  245.0 36:49.517 12:20.11  24.46  24.47   0.93   0.22   0.50 110.36   1.97  0.66   0.27  108           
4-85.1          1246.0  245.0 36:49.517 12:20.11  25.17  25.22   0.34   0.23   0.76 105.91   0.84  0.26   0.44   67          S
4-85.2          1268.0  223.0 36:49.682 12:19.64  25.25  25.31  >2.54   0.25   0.09  92.78   0.60  0.21   0.72  164          S
4-86.0          1967.0  256.0 36:51.058 11:53.48  28.13  28.44 >-0.54   0.73  -0.19   8.44   0.20  0.17   0.69   99          S
4-87.0          1454.0  264.0 36:49.879 12:12.18  29.63  29.60 >-0.38   0.30  -0.59   5.81   0.05  0.09   0.53  179          S
4-88.0           421.0  262.0 36:47.599 12:50.11  28.03  28.25  >0.02   0.46   0.41  13.32   0.18  0.14   0.77  116          S
4-89.0           359.0  245.0 36:47.550 12:52.65  24.58  24.64   0.29   0.56   0.68 112.61   1.63  0.39   0.37   52          S
4-90.0          1929.0  270.0 36:50.900 11:54.66  29.09  29.35  >0.20  -0.09   0.21   7.39   0.06  0.08   0.77   61          S
4-91.0          1757.0  271.0 36:50.513 12:00.95  28.96  29.09  >0.33  -0.18  -0.01   8.20   0.08  0.10   0.64   60          S
4-92.0           961.0  274.0 36:48.733 12:30.11  30.02  30.07    ...  >0.28   0.68   5.33   0.05  0.09   0.47    2          S
4-93.0           188.0  274.0 36:47.019 12:58.47  28.07  28.31 >-0.13   0.41   0.49  11.33   0.22  0.19   0.54   22          S
4-94.0           995.0  275.0 36:48.803 12:28.85  27.38  27.49   0.77   0.23  -0.11  21.50   0.22  0.14   0.61   62          S
4-95.0          1364.0  279.0 36:49.600 12:15.25  28.37  28.57  >0.02   0.43   0.03  11.43   0.12  0.11   0.74   65          S
4-96.0           604.0  280.0 36:47.910 12:43.12  26.58  26.65  >1.50  -0.00  -0.02  30.62   0.43  0.20   0.89  168          S
4-97.0           736.0  282.0 36:48.192 12:38.24  29.60  30.00    ...  >0.49  -0.28   4.54   0.04  0.08   0.45   88          S
4-98.0          1045.0  284.0 36:48.867 12:26.87  28.08  28.21  >0.98  -0.17   0.02  14.64   0.12  0.09   0.90   42          S
4-99.0          1233.0  284.0 36:49.284 12:19.98  28.04  28.09   0.05   0.02   0.29  14.88   0.18  0.15   0.64  146          S
4-100.0         1394.0  291.0 36:49.604 12:13.96  29.27  29.87    ...  >0.34   0.28   5.35   0.06  0.09   0.68   42          S
4-101.0          380.0  292.0 36:47.350 12:51.15  29.02  29.17 >-0.78   0.68   0.83   9.65   0.11  0.11   0.81  120          S
4-102.0          985.0  294.0 36:48.681 12:28.92  29.53  30.03    ...  >0.45  -0.18   5.34   0.04  0.08   0.44   25          S
4-103.0          864.0  299.0 36:48.387 12:33.28  29.52  29.60 >-0.74   0.53  -0.17   5.38   0.06  0.11   0.54   61          S
