ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
2-68.0           553.0  201.0 36:47.244 13:18.75  27.96  28.11    ...  >1.17   0.70  13.10   0.29  0.18   0.87  139          S
2-69.0           907.0  204.0 36:46.446 13:31.69  28.47  28.40   0.45  -0.19   0.28  12.94   0.13  0.12   0.72   35          S
2-70.0          1073.0  210.0 36:46.096 13:37.84  28.85  28.94  -0.85   0.64   0.08   7.86   0.12  0.15   0.41   35          S
2-71.0          1696.0  211.0 36:44.669 14:00.55  27.69  27.79  >0.68   0.35   0.01  17.11   0.18  0.13   0.71  152          S
2-72.0           151.0  213.0 36:48.230 13:04.29  29.66  29.37    ...  >0.21   0.43   5.34   0.05  0.08   0.95   40          S
2-73.0           892.0  213.0 36:46.528 13:31.29  28.86  28.81    ...  >0.95   0.23   8.96   0.13  0.13   0.71   82          S
2-74.0          1811.0  213.0 36:44.415 14:04.77  29.85  30.26    ...  >0.17   0.03   4.00   0.04  0.06   0.72   20          S
2-75.0           517.0  216.0 36:47.405 13:17.68  29.47  30.08 >-0.60   0.21   0.02   4.52   0.04  0.20   0.14   47          S
2-76.0          1334.0  182.0 36:45.350 13:46.90  25.12  25.18  >1.65   0.67   0.14  61.82   1.51  0.42   0.52  103           
2-76.1          1334.0  182.0 36:45.350 13:46.90  25.17  25.26  >1.73   0.72   0.14  69.74   1.12  0.36   0.67  105           
2-76.2          1314.0  209.0 36:45.537 13:46.60  28.56  28.66 >-0.07   0.48   0.24  11.21   0.12  0.14   0.59   20          S
2-76.11         1334.0  182.0 36:45.350 13:46.90  25.32  25.48  >1.91   0.68   0.12  77.80   0.66  0.26   0.62   40          S
2-76.12         1314.0  195.0 36:45.464 13:46.38  27.40  27.56  >0.30   0.90   0.12  22.03   0.21  0.27   0.36    3           
2-76.121        1314.0  195.0 36:45.464 13:46.38  28.06  28.52  >0.12   0.77   0.17  16.65   0.07  0.09   0.92    8          S
2-76.122        1320.0  201.0 36:45.481 13:46.69  28.25  28.71 >-0.14   0.88  -0.03  13.64   0.06  0.10   0.55   95          S
2-77.0          1012.0  217.0 36:46.273 13:35.73  28.05  28.13   0.52  -0.15   0.96  18.74   0.20  0.13   0.73   88          S
2-78.0          1552.0  221.0 36:45.052 13:55.47  29.64  30.00    ...  >0.38 <-0.31   4.68   0.04  0.08   0.53  138          S
2-79.0           856.0  220.0 36:46.647 13:30.09  26.70  26.76   0.67   0.43   0.70  36.98   0.43  0.18   0.62  116          S
2-80.0          1403.0  223.0 36:45.405 13:50.07  25.59  25.64   1.41   0.17   0.13  72.87   0.54  0.18   0.90  155          S
2-81.0          1926.0  215.0 36:44.161 14:08.99  26.05  26.13   0.97   0.12   0.31  39.64   0.73  0.25   0.60  100          S
2-82.0          1954.0  209.0 36:44.066 14:09.92  24.49  24.53   1.85   0.07   0.02 108.11   1.28  0.29   0.64   51           
2-82.1          1954.0  209.0 36:44.066 14:09.92  24.54  24.72   1.85   0.04  -0.02 149.08   0.55  0.24   0.46   42          S
2-82.2          1947.0  224.0 36:44.160 14:09.90  27.86  28.04  >0.37   0.96   0.29  26.55   0.06  0.08   0.81  158          S
2-83.0           580.0  227.0 36:47.318 13:20.15  28.06  28.32  >0.07   0.40   0.09  11.79   0.17  0.18   0.50  150          S
2-84.0           204.0  227.0 36:48.181 13:06.45  30.14  30.39    ... >-0.39   0.61   3.16   0.07  0.12   0.62   74          S
2-85.0          1291.0  230.0 36:45.699 13:46.10  27.84  27.89  >0.27   0.59  -0.22  15.29   0.19  0.18   0.46  176          S
2-86.0          1589.0  231.0 36:45.020 13:56.97  28.53  28.54    ...  >1.13   0.76  13.72   0.14  0.12   0.71  136          S
2-87.0           563.0  228.0 36:47.362 13:19.55  27.88  27.95  >0.51   0.31  -0.09  15.85   0.16  0.11   0.79   79          S
2-88.0           418.0  234.0 36:47.726 13:14.36  27.64  27.66   0.21   0.36   0.65  23.01   0.19  0.11   0.81  155          S
2-89.0           433.0  237.0 36:47.707 13:14.95  29.10  29.60    ...  >0.50   0.32   5.84   0.07  0.11   0.67  108          S
2-90.0          1046.0  227.0 36:46.247 13:37.13  26.74  26.84   1.32   0.07  -0.05  28.06   0.36  0.18   0.61   40          S
2-91.0           828.0  238.0 36:46.805 13:29.36  28.29  28.61 >-0.57   0.97   0.51  12.36   0.13  0.12   0.63  161          S
2-92.0          1631.0  240.0 36:44.970 13:58.65  29.60  29.71    ...  >0.46   0.52   6.12   0.06  0.11   0.41   12          S
2-93.0          1468.0  237.0 36:45.329 13:52.66  26.37  26.40  >1.20   0.62   0.14  41.48   0.44  0.17   0.63  140          S
2-94.0           206.0  245.0 36:48.271 13:06.81  29.88  30.31    ... >-0.21  <0.29   2.89   0.07  0.13   0.35  140          S
2-95.0          1548.0  245.0 36:45.187 13:55.71  29.26  29.74 >-0.78   0.45   0.04   5.63   0.06  0.09   0.52    1          S
2-96.0           358.0  245.0 36:47.921 13:12.35  26.93  26.95   0.05   0.05   0.46  29.52   0.36  0.22   0.43    1          S
2-97.0          1635.0  251.0 36:45.018 13:58.97  28.25  28.34   0.89  -0.28  -0.36  11.51   0.13  0.16   0.37  125          S
2-98.0           562.0  253.0 36:47.495 13:19.91  28.76  28.91 >-0.01   0.04   0.47   9.31   0.12  0.16   0.50   80          S
2-99.0          1572.0  251.0 36:45.163 13:56.68  28.96  29.28    ...  >0.61   0.43   6.96   0.11  0.16   0.29  142          S
2-100.0         1247.0  249.0 36:45.900 13:44.80  26.16  26.24   0.55   0.65   0.24  46.79   0.52  0.19   0.66   38          S
2-102.0          148.0  256.0 36:48.461 13:04.88  26.57  26.58   0.62   0.37   0.76  30.47   0.29  0.13   0.81    0         BS
2-103.0          690.0  261.0 36:47.242 13:24.70  29.71  30.22    ... >-0.00   0.87   4.78   0.06  0.12   0.31  140          S
2-104.0          949.0  254.0 36:46.611 13:34.03  27.39  27.43   0.06   0.22   0.86  27.19   0.28  0.15   0.70   79          S
2-106.0         1398.0  264.0 36:45.631 13:50.55  29.10  29.41    ...  >0.72  -0.01   7.15   0.06  0.08   0.64   37          S
2-107.0         1749.0  260.0 36:44.803 14:03.27  27.27  27.42   0.03   0.12   0.36  22.22   0.25  0.15   0.76   46          S
2-108.0          784.0  252.0 36:46.979 13:27.98  25.19  25.27   0.84   0.80   0.35  50.67   2.03  0.58   0.58   51          S
2-109.0          450.0  270.0 36:47.840 13:16.10  28.94  29.13 >-0.75   0.85   0.01   7.86   0.08  0.10   0.65   99          S
2-110.0         1436.0  270.0 36:45.575 13:52.03  26.84  26.91  >1.15   0.39   0.14  31.20   0.32  0.16   0.59   36          S
2-111.0          380.0  271.0 36:48.006 13:13.57  27.78  27.81   0.19   0.05   0.58  21.52   0.16  0.10   0.87  145          S
2-112.0         1939.0  276.0 36:44.450 14:10.45  28.63  29.09    ...  >0.74   0.31   7.90   0.10  0.11   0.71  180          S
2-113.0         1016.0  278.0 36:46.582 13:36.85  28.39  28.45  >0.13   0.14   0.78  12.99   0.20  0.18   0.36  103          S
2-115.0          500.0  280.0 36:47.778 13:18.09  28.13  28.35    ...  >1.11   0.26  10.60   0.21  0.16   0.72   40          S
2-116.0          996.0  271.0 36:46.591 13:36.01  26.62  26.68  >0.66   0.93   0.16  35.01   0.40  0.17   0.50   89          S
2-117.0         1467.0  285.0 36:45.582 13:53.40  29.77  29.59 >-0.48   0.46  -0.18   6.38   0.05  0.07   0.61  135          S
2-118.0         1329.0  288.0 36:45.915 13:48.42  27.83  27.97  >0.54   0.17   0.15  14.69   0.21  0.14   0.66    3          S
2-119.0          827.0  290.0 36:47.079 13:30.16  29.66  30.20 >-0.54  -0.10   0.08   4.02   0.05  0.10   0.62  102          S
2-120.0         1773.0  294.0 36:44.925 14:04.69  29.51  29.87    ...  >0.33   0.33   5.30   0.06  0.07   0.88   67          S
2-121.0          270.0  237.0 36:48.082 13:09.02  21.39  21.43   1.78   1.56   1.00 518.11  16.49  0.64   0.86   23           
2-121.1          270.0  237.0 36:48.082 13:09.02  21.39  21.44   1.80   1.57   1.00 532.60  15.85  0.63   0.90   18           
2-121.2          228.0  172.0 36:47.839 13:06.44  27.07  27.11  >0.40   0.84   0.33  24.03   0.38  0.21   0.53  164          S
2-121.11         270.0  237.0 36:48.082 13:09.02  21.42  21.53   2.10   1.65   1.03 756.23   9.01  0.52   0.84   44           
2-121.12         326.0  233.0 36:47.932 13:10.99  25.41  25.52   0.46   0.52   0.55  83.51   0.63  0.26   0.58  171          S
2-121.111        270.0  237.0 36:48.082 13:09.02  21.43  21.58   2.37   1.68   1.03 879.42   6.77  0.47   0.87   37          S
2-121.112        272.0  191.0 36:47.837 13:08.35  27.37  27.53   0.63   0.36   0.74  37.77   0.09  0.11   0.69   64          S
2-122.0          521.0  287.0 36:47.766 13:18.96  25.70  25.75  >1.85   0.53   0.11  65.42   0.53  0.17   0.62   60          S
2-123.0         1145.0  303.0 36:46.416 13:41.96  28.45  28.62 >-0.07   0.29   0.03   9.04   0.14  0.16   0.57   16          S
2-124.0         1506.0  303.0 36:45.586 13:55.11  30.02  29.94    ... >-0.05   1.47   6.93   0.09  0.11   0.84  127          S
2-125.0         1844.0  304.0 36:44.814 14:07.44  28.57  28.69 >-0.02   0.33   0.46  11.81   0.12  0.14   0.44   40          S
2-126.0         1557.0  302.0 36:45.464 13:56.95  26.92  26.95  -0.06   0.27   0.87  39.44   0.33  0.14   0.69  136          S
2-127.0         1808.0  299.0 36:44.871 14:06.05  25.02  25.11   1.31   0.29   0.39  77.93   1.26  0.28   0.70  161          S
2-128.0          959.0  313.0 36:46.895 13:35.34  27.47  27.54  -0.22   0.03   0.63  21.10   0.31  0.19   0.58   41          S
2-129.0          699.0  319.0 36:47.524 13:25.96  29.31  29.40 >-0.47   0.35  -0.22   6.16   0.07  0.10   0.68  138          S
2-130.0         1377.0  320.0 36:45.971 13:50.68  27.90  28.02  >0.34   0.37  -0.14  12.74   0.22  0.24   0.29   14          S
2-131.0          148.0  316.0 36:48.774 13:05.84  26.18  26.69  >0.59   0.32   0.82  26.49   0.45  0.27   0.32  133         BS
2-132.0         1627.0  324.0 36:45.418 13:59.85  28.67  28.87 >-0.47   0.57   0.23   8.86   0.12  0.16   0.36  147          S
2-133.0          893.0  318.0 36:47.073 13:33.02  26.05  26.06   0.25   0.20   0.68  52.20   0.73  0.29   0.37   42          S
2-134.0          948.0  331.0 36:47.015 13:35.23  28.94  29.40    ...  >0.65  -0.16   6.32   0.07  0.10   0.72   50          S
2-135.0         1418.0  333.0 36:45.945 13:52.38  29.55  30.06    ...  >0.34 <-0.24   4.47   0.04  0.09   0.52   27          S
2-136.0         2000.0  333.0 36:44.607 14:13.59  28.42  28.72 >-0.02   0.31 <-0.95   7.36   0.09  0.12   0.94    7          S
2-137.0          272.0  337.0 36:48.599 13:10.70  29.55  29.93 >-0.53  -0.05   0.51   4.52   0.07  0.12   0.65   52          S
2-138.0         1502.0  337.0 36:45.773 13:55.51  29.72  29.84    ...  >0.20   0.88   6.05   0.08  0.17   0.21  134          S
2-139.0          367.0  315.0 36:48.266 13:13.80  25.23  25.33   0.51   0.64   1.16  72.00   1.79  0.37   0.66   68           
2-139.1          367.0  315.0 36:48.266 13:13.80  25.34  25.99   0.64   0.56   1.19  97.37   0.40  0.21   0.72  100          S
2-139.2          367.0  333.0 36:48.360 13:14.09  27.79  28.43  >0.42   0.75   0.58  23.15   0.05  0.09   0.70   65          S
2-140.0         1266.0  340.0 36:46.331 13:46.96  27.80  27.89  >0.11   0.76   0.32  19.20   0.18  0.12   0.72  101          S
2-141.0         2013.0  338.0 36:44.603 14:14.14  28.04  28.08    ...  >1.28   0.43  13.05   0.15  0.11   0.78   54         BS
2-142.0          408.0  346.0 36:48.333 13:15.80  29.80  30.08    ...  >0.23   0.51   5.27   0.05  0.08   0.48   44          S
2-143.0          979.0  348.0 36:47.032 13:36.63  29.37  29.42    ...  >0.58   0.60   7.96   0.09  0.12   0.42   20          S
2-144.0         1402.0  345.0 36:46.044 13:51.99  28.66  28.93 >-0.42   0.63  -0.28   7.87   0.10  0.11   0.89  109          S
2-145.0         1448.0  347.0 36:45.949 13:53.70  28.39  28.63  -0.47   0.61   0.17  10.82   0.13  0.13   0.53   98          S
2-146.0          667.0  334.0 36:47.676 13:25.04  26.80  26.92   0.50   0.16   0.41  32.13   0.36  0.17   0.46   87          S
2-147.0          278.0  353.0 36:48.668 13:11.17  29.03  29.48 >-0.24   0.09   0.17   6.11   0.07  0.10   0.51  178          S
2-148.0         1103.0  354.0 36:46.778 13:41.25  29.00  29.37  >0.02  -0.11  -0.50   6.33   0.07  0.12   0.84  119          S
2-150.0          522.0  347.0 36:48.077 13:19.97  26.84  26.89  >0.66   0.58   0.49  25.49   0.54  0.29   0.40  136          S
2-151.0         1784.0  351.0 36:45.197 14:06.01  27.71  27.86  >0.60  -0.01   0.72  16.85   0.32  0.20   0.49   56          S
2-152.0         1964.0  366.0 36:44.862 14:12.81  29.36  29.99    ...  >0.33  -0.17   4.99   0.04  0.09   0.39   48          S
2-153.0          796.0  349.0 36:47.458 13:29.98  24.58  24.63   0.35   0.42   0.98 110.83   2.30  0.41   0.87  159          S
2-154.0          270.0  363.0 36:48.739 13:11.04  27.83  27.97 >-0.56   1.00   0.53  12.14   0.34  0.32   0.26   51          S
2-155.0          865.0  366.0 36:47.388 13:32.77  27.61  27.68  >0.07   1.04   0.19  19.41   0.19  0.12   0.85   46          S
2-156.0          832.0  370.0 36:47.485 13:31.63  29.10  29.47    ...  >0.38   1.71  11.69   0.10  0.10   0.77   66          S
2-158.0         1687.0  371.0 36:45.525 14:02.80  29.46  29.31    ...  >0.76   1.36  12.09   0.08  0.09   0.77  163          S
2-159.0         1280.0  368.0 36:46.445 13:47.92  28.00  28.27 >-0.31   0.90   0.27  12.96   0.16  0.12   0.76  115          S
2-160.0          361.0  359.0 36:48.509 13:14.29  26.09  26.13   0.54   0.87   0.50  44.27   0.68  0.26   0.40   59          S
2-161.0          237.0  375.0 36:48.877 13:10.03  29.83  30.12    ...  >0.21 <-0.15   3.95   0.04  0.09   0.52  163          S
2-162.0          953.0  383.0 36:47.274 13:36.25  29.53  29.84    ...  >0.46  -0.18   5.11   0.05  0.09   0.49   38          S
2-163.0         1801.0  376.0 36:45.289 14:07.03  26.08  26.15   0.44   0.56   0.58  58.88   0.46  0.15   0.75  139          S
2-164.0         1426.0  386.0 36:46.203 13:53.53  28.66  28.90 >-0.27   0.56  -0.21   8.28   0.10  0.12   0.47   16          S
2-165.0         1580.0  386.0 36:45.849 13:59.14  27.66  27.78 >-0.37   1.25  -0.04  15.13   0.23  0.16   0.71  154          S
2-166.0          881.0  389.0 36:47.471 13:33.72  28.89  29.21 <-1.06  >0.55   0.74   7.18   0.13  0.16   0.49  150          S
2-167.0         1062.0  389.0 36:47.055 13:40.31  29.18  29.28 >-0.47   0.32   0.53   8.12   0.10  0.11   0.87   16          S
2-168.0          514.0  391.0 36:48.325 13:20.38  27.24  27.30  >0.72   0.66   0.28  26.77   0.23  0.13   0.83  151          S
2-169.0         1414.0  388.0 36:46.241 13:53.12  28.83  29.09    ...  >0.78   0.64   8.72   0.11  0.12   0.68   54          S
2-170.0          548.0  396.0 36:48.273 13:21.70  28.99  29.41 >-0.71   0.54   0.06   6.19   0.08  0.10   0.58   83          S
2-171.0         1300.0  399.0 36:46.560 13:49.15 >30.63 >30.63    ...    ...  >2.00   5.59   0.06  0.08   0.72   69          S
2-172.0          952.0  397.0 36:47.350 13:36.44  27.22  27.37  >1.10   0.06  -0.04  19.53   0.28  0.16   0.53  154          S
2-173.0          417.0  377.0 36:48.474 13:16.62  24.23  24.29  >1.45   1.38   0.84 129.77   2.40  0.32   0.88  153          S
2-174.0         1425.0  401.0 36:46.284 13:53.73  28.78  28.86  -0.60   0.08   0.20  10.11   0.10  0.10   0.66  172          S
2-175.0         1504.0  388.0 36:46.034 13:56.40  25.16  25.17   0.48   0.49   0.94  88.50   1.38  0.30   0.57  169          S
2-176.0         1015.0  400.0 36:47.221 13:38.78  28.37  28.70    ...  >0.93   0.43   9.71   0.16  0.14   0.68  160          S
2-177.0         1406.0  402.0 36:46.332 13:53.06  28.88  29.01  >0.31   0.06  -0.21   9.36   0.08  0.08   0.88   73          S
2-178.0          817.0  404.0 36:47.696 13:31.63  29.42  29.80    ...  >0.46   0.54   6.15   0.06  0.08   0.90   13          S
2-179.0         1635.0  404.0 36:45.817 14:01.43  30.55  30.38    ... >-0.04   1.05   5.37   0.04  0.07   0.67   64          S
2-180.0          216.0  398.0 36:49.046 13:09.64  24.70  24.73   0.54   0.21   0.69 121.44   1.16  0.23   0.53  156          S
2-181.0         1240.0  409.0 36:46.751 13:47.12  28.92  29.17 >-0.41   0.26   0.41   7.13   0.12  0.14   0.48  123          S
2-182.0         1381.0  412.0 36:46.442 13:52.31  28.34  28.47  >0.30   0.28  -0.20  11.45   0.12  0.11   0.76  161          S
2-183.0         1175.0  421.0 36:46.963 13:44.95  29.45  29.83 >-0.48  -0.02   0.77   6.40   0.07  0.09   0.67  164          S
2-184.0          171.0  422.0 36:49.274 13:08.38  28.96  28.92 >-0.26   0.18  -0.23   6.60   0.08  0.10   0.86  160          S
2-185.0         1402.0  422.0 36:46.446 13:53.23  27.72  27.81  >0.83   0.42  -0.27  21.97   0.13  0.09   0.91    3          S
2-186.0         1742.0  413.0 36:45.618 14:05.47  26.80  26.91  >1.45   0.10   0.07  28.22   0.35  0.19   0.46   38          S
2-187.0          923.0  425.0 36:47.562 13:35.83  28.40  28.57 >-0.12   0.57  -0.13  10.72   0.12  0.13   0.45   95          S
2-188.0          203.0  440.0 36:49.295 13:09.84  29.61  30.20    ... >-0.15   0.66   3.62   0.07  0.18   0.36   35          S
2-189.0         1745.0  441.0 36:45.757 14:06.03  29.26  29.60 >-0.73   0.50  -0.04   6.04   0.07  0.10   0.71   99          S
