ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
1-44.0           829.0  483.0 36:42.970 13:04.42  28.78  29.11 >-0.82   0.19   0.03   5.68   0.05  0.09   0.56  132          S
1-45.0           103.0  484.0 36:46.765 13:15.90  28.61  29.31    ... >-0.60   0.72   2.84   0.05  0.12   0.62   54          S
1-46.0           530.0  489.0 36:44.520 13:09.35  28.40  28.54 >-0.70   0.52  -0.28   7.54   0.07  0.08   0.77   39          S
1-47.0           221.0  480.0 36:46.157 13:13.89  24.81  24.85   0.45   0.53   0.58  94.55   0.56  0.15   0.75   22          S
1-48.0           379.0  502.0 36:45.281 13:12.21  28.76  29.13 >-0.73  -0.04  -0.11   5.52   0.06  0.11   0.31   10          S
1-49.0           820.0  517.0 36:42.940 13:05.80  28.54  28.96 >-0.67  -0.20   0.58   5.73   0.09  0.11   0.48  140          S
1-50.0           943.0  528.0 36:42.272 13:04.26  26.78  27.03    ...  >1.15   0.74  15.18   0.40  0.22   0.73   15          S
1-51.0           722.0  535.0 36:43.412 13:08.00  26.97  27.17 >-0.62   0.98   0.52  15.58   0.29  0.18   0.60   25          S
1-52.0           514.0  558.0 36:44.448 13:12.12  27.85  27.89   0.09  -0.13   0.44  14.19   0.11  0.10   0.62   73          S
1-53.0           441.0  559.0 36:44.828 13:13.31  28.09  28.10 >-0.09   0.07   0.51  12.04   0.11  0.10   0.56  179          S
1-54.0           579.0  553.0 36:44.120 13:10.92  24.44  24.49  >1.18   0.98   0.37  85.33   1.08  0.37   0.49   28           
1-54.1           587.0  544.0 36:44.098 13:10.46  25.01  25.47  >1.47   0.86   0.23  92.60   0.18  0.17   0.56   89          S
1-54.2           579.0  553.0 36:44.120 13:10.92  25.41  25.88  >1.02   1.18   0.42  87.78   0.11  0.12   0.43  134          S
1-55.0           953.0  554.0 36:42.161 13:05.05  25.55  25.62  >1.11   0.26   0.32  39.19   0.49  0.25   0.33   20          S
1-56.0           503.0  580.0 36:44.456 13:13.10  26.46  26.47   0.52  -0.14   0.41  33.29   0.23  0.11   0.82  140          S
1-57.0           841.0  566.0 36:42.720 13:07.26  22.91  22.96   0.70   1.03   0.97 162.99   5.15  0.81   0.39   26           
1-57.1           841.0  566.0 36:42.720 13:07.26  22.93  22.99   0.72   1.05   0.97 181.47   4.30  0.77   0.42   26           
1-57.2           899.0  516.0 36:42.530 13:04.52  27.21  27.28    ...  >1.27   0.40  15.50   0.24  0.25   0.32  131          S
1-57.11          841.0  566.0 36:42.720 13:07.26  23.04  23.26   1.08   1.28   1.03 236.34   2.11  0.53   0.53    6           
1-57.12          893.0  532.0 36:42.525 13:05.20  25.46  25.69   0.27   0.15   0.49  74.32   0.21  0.12   0.70  123          S
1-57.111         841.0  566.0 36:42.720 13:07.26  23.05  23.38   1.31   1.31   1.03 267.81   1.44  0.46   0.54  176           
1-57.112         863.0  540.0 36:42.664 13:05.96  28.12  28.46    ...  >0.99   1.53  20.86   0.05  0.08   0.88  123          S
1-57.1111        841.0  566.0 36:42.720 13:07.26  23.13  23.47  >1.69   1.43   1.06 273.44   1.25  0.39   0.31  158           
1-57.1112        868.0  546.0 36:42.624 13:06.10  25.89  26.23   0.15   0.42   0.65  51.47   0.18  0.18   0.35   61          S
1-57.11111       841.0  566.0 36:42.720 13:07.26  23.16  23.58  >1.69   1.53   1.07 299.58   0.89  0.34   0.27  153          S
1-57.11112       851.0  537.0 36:42.733 13:06.04  27.08  27.51  >0.02   0.79   0.85  29.85   0.06  0.13   0.42  175          S
1-58.0           593.0  590.0 36:43.963 13:12.05  26.12  26.21  >0.49   0.67   0.24  31.30   0.33  0.15   0.58  137          S
1-59.0           733.0  603.0 36:43.201 13:10.31  28.53  28.93    ...  >0.47  -0.07   6.77   0.06  0.07   0.72   27          S
1-60.0           294.0  622.0 36:45.455 13:17.93  28.29  28.40    ...  >0.85   0.35   9.39   0.08  0.08   0.92  134          S
1-61.0           535.0  625.0 36:44.187 13:14.24  26.94  27.00  >0.71  -0.05   0.06  18.03   0.23  0.16   0.55  160          S
1-62.0           305.0  633.0 36:45.372 13:18.16  28.83  29.37    ... >-0.10   0.94   5.22   0.07  0.15   0.27   77          S
1-63.0           721.0  640.0 36:43.181 13:11.86  25.64  25.68   0.09  -0.22  -0.12  57.96   0.23  0.09   0.81  133          S
1-64.0           669.0  653.0 36:43.423 13:13.15  28.48  28.52 >-0.22  -0.09   0.17   8.04   0.09  0.12   0.35   82          S
1-65.0           919.0  655.0 36:42.112 13:09.28  29.06  29.28    ...  >0.09   0.25   4.80   0.05  0.09   0.34    3          S
1-66.0           613.0  654.0 36:43.714 13:14.07  25.50  25.56   0.37   0.03   0.02  48.94   0.45  0.22   0.37  162          S
1-67.0           968.0  654.0 36:41.858 13:08.47  26.54  26.66  >0.01   0.63   0.10  18.20   0.20  0.13   0.60  157          S
1-68.0           400.0  658.0 36:44.819 13:17.58  26.14  26.24  -0.30   0.87   0.64  31.59   0.44  0.20   0.48  102          S
1-69.0           155.0  675.0 36:46.062 13:22.06  28.54  28.78 >-0.77   0.26  -0.57   5.57   0.06  0.07   0.85   95          S
1-70.0           538.0  676.0 36:44.057 13:16.06  26.63  26.75 >-0.01   0.72   0.46  24.16   0.28  0.14   0.77  139          S
1-71.0           909.0  676.0 36:42.116 13:10.21  25.22  25.21  >0.58   1.49   1.45 123.96   0.36  0.09   0.97  133          S
1-72.0           565.0  689.0 36:43.886 13:16.11  28.04  28.33  -0.72   0.00  -0.03   8.54   0.09  0.10   0.51  103          S
1-73.0           655.0  692.0 36:43.409 13:14.80  28.22  28.54 >-0.83   0.22   0.22   6.53   0.12  0.23   0.15  112          S
1-74.0           725.0  703.0 36:43.018 13:14.10  28.44  28.52 >-0.23  -0.01   0.26   9.47   0.07  0.08   0.69   98          S
1-75.0           354.0  705.0 36:44.954 13:20.02  29.27  29.41    ...  >0.21   0.54   5.81   0.04  0.06   0.97   76          S
1-76.0           421.0  704.0 36:44.606 13:18.93  25.56  25.65   0.04   0.41   0.57  46.92   0.56  0.23   0.57    2          S
1-77.0           855.0  738.0 36:42.259 13:13.32  28.60  28.72 >-0.83   0.39  -0.05   7.09   0.07  0.09   0.58  103          S
1-78.0           903.0  729.0 36:42.028 13:12.24  26.55  26.68  >0.24   0.39   0.85  25.40   0.33  0.16   0.73   93          S
1-79.0           920.0  758.0 36:41.874 13:13.03  28.79  29.20    ...  >0.10   0.23   5.08   0.06  0.10   0.57  102          S
1-80.0           604.0  771.0 36:43.497 13:18.49  28.56  28.82 >-0.48   0.09   0.12   7.40   0.06  0.07   0.71  103          S
1-81.0           811.0  771.0 36:42.415 13:15.22  28.16  28.20  >0.24  -0.17   0.05  11.09   0.07  0.08   0.86   88          S
1-82.0           256.0  775.0 36:45.308 13:24.12  28.97  29.57    ... >-0.09   0.62   4.92   0.04  0.07   0.56  109          S
1-83.0           671.0  786.0 36:43.113 13:17.98  26.28  26.42  >0.23   0.34   0.81  24.03   0.61  0.35   0.26  150          S
1-84.0           361.0  807.0 36:44.687 13:23.64  28.42  28.56 >-0.30  -0.17   0.12   6.88   0.09  0.12   0.50   43          S
1-85.0           645.0  807.0 36:43.202 13:19.16  27.26  27.34  >0.25   0.00   0.06  12.97   0.22  0.17   0.43   43          S
1-86.0           223.0  810.0 36:45.402 13:25.92  23.05  23.08   0.37   0.75   0.40 198.62   1.96  0.27   0.45   47          S
1-87.0           151.0  776.0 36:45.855 13:25.81  21.49  21.51   1.05   0.86   0.53 207.59  10.80  0.88   0.70    5         FS
1-88.0          1002.0  837.0 36:41.267 13:14.62  27.40  28.07    ...  >1.23   0.58   7.82   0.05  0.10   0.78   80         BS
1-89.0           288.0  843.0 36:44.988 13:26.10  29.47  29.55    ... >-0.11   0.29   4.35   0.04  0.12   0.29   94          S
1-90.0           838.0  843.0 36:42.111 13:17.43  27.05  27.19 >-0.24   0.60   0.17  15.43   0.24  0.16   0.44   76          S
1-91.0           890.0  856.0 36:41.810 13:17.08  28.95  29.32    ...  >0.03   0.13   4.47   0.05  0.08   0.82  142          S
1-92.0           315.0  855.0 36:44.819 13:26.12  27.10  27.21  -0.12  -0.03   0.45  16.31   0.24  0.18   0.40   84          S
1-93.0           713.0  852.0 36:42.745 13:19.73  26.50  26.71 <-1.09  >1.38   0.71  18.76   0.48  0.22   0.84  160          S
1-94.0           480.0  877.0 36:43.907 13:24.32  28.60  28.72 >-0.84   0.36   0.27   7.77   0.07  0.07   0.91  128          S
1-95.0           776.0  869.0 36:42.377 13:19.36  24.97  25.00   0.16   0.41   0.93  82.17   0.63  0.15   0.79   39          S
1-96.0           853.0  882.0 36:41.945 13:18.62  27.77  27.93 >-0.19   0.28  -0.11  10.53   0.11  0.12   0.53   81          S
1-97.0           724.0  885.0 36:42.613 13:20.76  28.43  28.62 >-0.01  -0.38   0.04   7.59   0.07  0.09   0.62  166          S
1-98.0           633.0  888.0 36:43.082 13:22.31  28.92  29.21    ...  >0.19   0.53   5.76   0.06  0.10   0.49   41          S
1-99.0           493.0  895.0 36:43.798 13:24.77  28.59  28.69 >-0.63   0.12   0.38   6.73   0.10  0.17   0.25  110          S
1-100.0          163.0  895.0 36:45.524 13:29.97  26.05  26.09  -0.27   0.41   0.47  39.96   0.28  0.13   0.75   36          S
1-101.0          804.0  893.0 36:42.176 13:19.79  26.90  27.03 >-0.06   0.64   0.39  21.06   0.20  0.12   0.66  159          S
1-102.0          967.0  901.0 36:41.306 13:17.51  28.72  29.15    ... >-0.27   0.68   4.14   0.06  0.10   0.62   48          S
1-103.0          829.0  910.0 36:42.007 13:20.02  28.51  28.79 >-0.22  -0.16  -0.25   6.48   0.06  0.07   0.96  159          S
1-104.0          491.0  911.0 36:43.773 13:25.39  27.36  27.65 >-0.17   0.36   0.41  12.82   0.17  0.13   0.67   15          S
1-105.0          811.0  940.0 36:42.034 13:21.40  24.64  24.71   0.22   0.30   0.73  74.35   0.85  0.21   0.74    7          S
1-106.0          488.0  959.0 36:43.680 13:27.19  28.66  28.90 >-0.22  -0.49  -0.12   5.89   0.05  0.07   0.84   32          S
1-107.0          658.0  967.0 36:42.773 13:24.80  28.68  29.04    ...  >0.20 <-0.21   4.59   0.04  0.06   0.67  177          S
1-108.0          296.0  971.0 36:44.657 13:30.66  25.49  25.56   0.72   0.28   0.32  33.42   0.47  0.21   0.47   51          S
1-109.0          871.0  983.0 36:41.623 13:22.03  27.18  27.33 >-0.25   0.20   0.60  11.73   0.15  0.17   0.27  162          S
