# K short	G0205
# scanned warm
# Wavelength (nm)	%T
2989	0.03223
2988	0.047036
2987	0.058727
2986	0.040531
2985	0.047634
2984	0.041524
2983	0.045679
2982	0.046862
2981	0.037921
2980	0.03341
2979	0.024665
2978	0.024527
2977	0.049711
2976	0.032655
2975	0.040763
2974	0.05161
2973	0.029295
2972	0.044188
2971	0.016702
2970	0.038201
2969	0.045973
2968	0.039037
2967	0.040118
2966	0.0332
2965	0.049989
2964	0.045729
2963	0.036424
2962	0.057953
2961	0.025861
2960	0.025685
2959	0.039331
2958	0.036608
2957	0.053768
2956	0.037464
2955	0.028679
2954	0.038252
2953	0.039267
2952	0.039122
2951	0.035244
2950	0.036294
2949	0.040809
2948	0.039453
2947	0.040442
2946	0.056574
2945	0.033005
2944	0.044408
2943	0.032584
2942	0.022089
2941	0.048123
2940	0.030909
2939	0.023903
2938	0.033873
2937	0.034783
2936	0.037926
2935	0.038815
2934	0.014481
2933	0.0177
2932	0.041478
2931	0.035834
2930	0.037793
2929	0.036589
2928	0.031072
2927	0.024593
2926	0.033946
2925	0.017063
2924	0.040924
2923	0.035487
2922	0.033251
2921	0.035164
2920	0.029847
2919	0.028649
2918	0.028441
2917	0.038362
2916	0.027195
2915	0.024054
2914	0.030792
2913	0.042386
2912	0.0266
2911	0.040942
2910	0.026249
2909	0.033701
2908	0.02972
2907	0.033322
2906	0.030285
2905	0.026359
2904	0.028991
2903	0.024157
2902	0.03132
2901	0.024745
2900	0.029957
2899	0.026123
2898	0.020593
2897	0.03623
2896	0.029797
2895	0.022625
2894	0.02838
2893	0.04167
2892	0.012773
2891	0.034254
2890	0.016622
2889	0.040901
2888	0.028424
2887	0.022542
2886	0.021547
2885	0.031551
2884	0.017263
2883	0.023249
2882	0.019206
2881	0.028845
2880	0.018126
2879	0.015737
2878	0.01927
2877	0.032899
2876	0.0073779
2875	0.016563
2874	0.027005
2873	0.028153
2872	0.025095
2871	0.017282
2870	0.01847
2869	0.020332
2868	0.015455
2867	0.021254
2866	0.021028
2865	0.025346
2864	0.023815
2863	0.012833
2862	0.015833
2861	0.01881
2860	0.02169
2859	0.023903
2858	0.014606
2857	0.017419
