LRIS B FILTER, printed from ~mhc/keck/filters/filter_b.spc  
by mhc 9/8/97.


Column     Wavelength      Value
     263     4352.3799       6.99132204E-01
     264     4354.8701       7.05343664E-01
     265     4357.3599       6.98050141E-01
     266     4359.8501       6.99895859E-01
     267     4362.3398       6.93055391E-01
     268     4364.8301       6.93190455E-01
     269     4367.3198       6.99313879E-01
     270     4369.8101       6.98919058E-01
     271     4372.2998       7.06508160E-01
     272     4374.7900       6.98708057E-01
     273     4377.2798       6.94250107E-01
     274     4379.7700       6.96683645E-01
     275     4382.2598       6.96549118E-01
     276     4384.7500       6.93515956E-01
     277     4387.2402       6.97346926E-01
     278     4389.7300       6.98033571E-01
     279     4392.2202       6.97756052E-01
     280     4394.7100       6.89580560E-01
     281     4397.2002       6.95016503E-01
     282     4399.6899       6.94511175E-01
     283     4402.1802       6.90986693E-01
     284     4404.6699       6.89230561E-01
     285     4407.1602       6.91422820E-01
     286     4409.6499       6.94370389E-01
     287     4412.1401       6.90640330E-01
     288     4414.6299       6.90497756E-01
     289     4417.1201       6.88829124E-01
     290     4419.6099       6.88359320E-01
     291     4422.1001       6.92764521E-01
     292     4424.5898       6.88975692E-01
     293     4427.0801       6.88290358E-01
     294     4429.5698       6.83591127E-01
     295     4432.0601       6.85492516E-01
     296     4434.5498       6.84055805E-01
     297     4437.0400       6.81223035E-01
     298     4439.5298       6.79627061E-01
     299     4442.0200       6.78722620E-01
     300     4444.5098       6.83134317E-01
     301     4447.0000       6.76564157E-01
     302     4449.4902       6.74999356E-01
     303     4451.9800       6.77063882E-01
     304     4454.4702       6.77074969E-01
     305     4456.9600       6.74105406E-01
     306     4459.4502       6.74474597E-01
     307     4461.9399       6.72440588E-01
     308     4464.4302       6.73369169E-01
     309     4466.9199       6.70050979E-01
     310     4469.4102       6.66050017E-01
     311     4471.8999       6.65971637E-01
     312     4474.3901       6.62736416E-01
     313     4476.8799       6.67430639E-01
     314     4479.3701       6.61190152E-01
     315     4481.8599       6.63864255E-01
     316     4484.3501       6.62734270E-01
     317     4486.8398       6.59390330E-01
     318     4489.3301       6.58788323E-01
     319     4491.8198       6.63671374E-01
     320     4494.3101       6.56068802E-01
     321     4496.7998       6.58880949E-01
     322     4499.2900       6.59303129E-01
     323     4501.7798       6.54212356E-01
     324     4504.2700       6.59024656E-01
     325     4506.7598       6.56282544E-01
     326     4509.2500       6.50033116E-01
     327     4511.7402       6.50255561E-01
     328     4514.2300       6.50651038E-01
     329     4516.7202       6.47509456E-01
     330     4519.2100       6.46146476E-01
     331     4521.7002       6.47357643E-01
     332     4524.1899       6.41415358E-01
     333     4526.6802       6.45839274E-01
     334     4529.1699       6.44800782E-01
     335     4531.6602       6.38486028E-01
     336     4534.1499       6.41793489E-01
     337     4536.6401       6.42172575E-01
     338     4539.1299       6.43165350E-01
