Transmission for IRAC band        4
 
Wavelength   Transmiss   Trans(P)    Trans(S)
   7.0890    0.332300    0.325800    0.338500
   7.1120    0.330200    0.316400    0.343500
   7.1360    0.337000    0.327100    0.346600
   7.1590    0.341900    0.335300    0.348200
   7.1830    0.334100    0.324400    0.343400
   7.2060    0.330800    0.318200    0.342900
   7.2300    0.337500    0.325400    0.349200
   7.2530    0.349100    0.341300    0.356500
   7.2760    0.353400    0.350900    0.355600
   7.3000    0.350000    0.344300    0.355300
   7.3230    0.346400    0.333100    0.359200
   7.3470    0.346700    0.334300    0.358600
   7.3700    0.352000    0.344800    0.358800
   7.3940    0.357700    0.350600    0.364500
   7.4170    0.360200    0.349700    0.370400
   7.4410    0.355800    0.344700    0.366600
   7.4640    0.348400    0.334200    0.362100
   7.4870    0.349100    0.332700    0.365200
   7.5110    0.365000    0.351800    0.377800
   7.5340    0.379900    0.371800    0.387900
   7.5580    0.386500    0.378100    0.394800
   7.5810    0.390300    0.379800    0.400600
   7.6050    0.395000    0.387200    0.402700
   7.6280    0.392900    0.385000    0.400800
   7.6520    0.385200    0.370800    0.399400
   7.6750    0.383700    0.365000    0.402200
   7.6980    0.392700    0.377000    0.408400
   7.7220    0.398900    0.385200    0.412600
   7.7450    0.395100    0.378100    0.411900
   7.7690    0.390100    0.372500    0.407600
   7.7920    0.390200    0.377600    0.402700
   7.8160    0.393200    0.382900    0.403400
   7.8390    0.393800    0.378800    0.408900
   7.8620    0.397700    0.380000    0.415300
   7.8860    0.406700    0.392900    0.420400
   7.9090    0.412800    0.403000    0.422600
   7.9330    0.410800    0.397700    0.423800
   7.9560    0.403400    0.382600    0.424100
   7.9800    0.399500    0.375300    0.423600
   8.0030    0.402000    0.379000    0.424900
   8.0270    0.407900    0.388600    0.427100
   8.0500    0.414300    0.394300    0.434200
   8.0730    0.414900    0.395100    0.434500
   8.0970    0.414800    0.397000    0.432300
   8.1200    0.418600    0.407000    0.430000
   8.1440    0.423400    0.417600    0.429000
   8.1670    0.422200    0.414400    0.429900
   8.1910    0.417100    0.401700    0.432100
   8.2140    0.414000    0.394100    0.433700
   8.2380    0.418600    0.403000    0.433900
   8.2610    0.424600    0.414500    0.434300
   8.2840    0.426400    0.415700    0.436900
   8.3080    0.423600    0.405800    0.441000
   8.3310    0.424600    0.404500    0.444100
   8.3550    0.426400    0.411100    0.441300
   8.3780    0.425800    0.415100    0.436100
   8.4020    0.417800    0.405500    0.429600
   8.4250    0.413700    0.393900    0.432900
   8.4480    0.416500    0.395400    0.436800
   8.4720    0.425000    0.407500    0.442000
   8.4950    0.427700    0.417000    0.438000
   8.5190    0.425200    0.415200    0.434700
   8.5420    0.419700    0.405100    0.433700
   8.5660    0.419600    0.403000    0.435500
   8.5890    0.421900    0.409500    0.433600
   8.6130    0.421500    0.412400    0.430100
   8.6360    0.421400    0.413700    0.428700
   8.6590    0.420500    0.411000    0.429500
   8.6830    0.416500    0.404000    0.428300
   8.7060    0.405400    0.392500    0.417600
   8.7300    0.392500    0.379800    0.404500
   8.7530    0.386500    0.374900    0.397500
   8.7770    0.388200    0.377900    0.397800
   8.8000    0.397400    0.387500    0.406700
   8.8240    0.405100    0.396800    0.412900
   8.8470    0.406200    0.399100    0.412800
   8.8700    0.401100    0.392300    0.409200
   8.8940    0.396400    0.384000    0.408200
   8.9170    0.393200    0.377100    0.408500
   8.9410    0.391300    0.373800    0.408000
   8.9640    0.388200    0.371900    0.403700
   8.9880    0.386700    0.373500    0.399300
   9.0110    0.384900    0.372400    0.396900
   9.0340    0.382400    0.369700    0.394400
   9.0580    0.376500    0.364500    0.387900
   9.0810    0.370500    0.359900    0.380600
   9.1050    0.366700    0.356400    0.376500
   9.1280    0.364200    0.352300    0.375600
   9.1520    0.361100    0.344200    0.377400
   9.1750    0.355100    0.333000    0.376400
   9.1990    0.343300    0.314500    0.371200
   9.2220    0.325500    0.286700    0.363300
   9.2450    0.304100    0.248900    0.358000
   9.2690    0.279000    0.202700    0.353400
   9.2920    0.251800    0.153800    0.347500
   9.3160    0.227900    0.111000    0.342100
   9.3390    0.206100    0.076720    0.332800
   9.3630    0.184000    0.053190    0.312300
   9.3860    0.157300    0.036750    0.275200
   9.4100    0.129000    0.025030    0.230900
   9.4330    0.103500    0.016740    0.188400
   9.4560    0.080700    0.010680    0.149200
   9.4800    0.058440    0.006070    0.109600
   9.5030    0.039220    0.004299    0.073490
   9.5270    0.023840    0.002557    0.044720
   9.5500    0.014400    0.001482    0.027050
   9.5740    0.009474    0.001171    0.017620
   9.5970    0.006409    0.000915    0.011800
   9.6200    0.004439    0.000951    0.007857
   9.6440    0.003190    0.000890    0.005443
   9.6670    0.002409    0.001186    0.003607
   9.6910    0.001130    0.000225    0.002015
   9.7140    0.001742    0.000742    0.002721
   9.7380    0.001633    0.001185    0.002070
   9.7610    0.000983    0.000295    0.001654
   9.7850    0.000778    0.000427    0.001122
   9.8080    0.000577    0.000367    0.000782
   9.8310    0.000738    0.000513    0.000958
   9.8550    0.000468    0.000184    0.000746
   9.8780    0.000548    0.000492    0.000603
   9.9020    0.000540    0.000584    0.000497
   9.9250    0.000570    0.000509    0.000629
   9.9490    0.000723    0.000665    0.000778
   9.9720    0.000294    0.000515    0.000079
   9.9960    0.000401    0.000562    0.000246
  10.0200    0.000297    0.000374    0.000223
  10.0400    0.000537    0.000338    0.000727
  10.0700    0.000830    0.000585    0.001065
  10.0900    0.000794    0.000527    0.001051
  10.1100    0.000253    0.000182    0.000321
  10.1400    0.000090    0.000127    0.000056
  10.1600    0.000224    0.000361    0.000093
  10.1800    0.000612    0.000691    0.000535
  10.2100    0.000669    0.000198    0.001116
  10.2300    0.000867    0.000246    0.001454
  10.2500    0.000899    0.000535    0.001242
  10.2800    0.000675    0.000651    0.000698
  10.3000    0.000359    0.000328    0.000387
