# lambda       B1            B2          B3           B4
#
  4301.7   0.24315800   0.23684100   0.22396800   0.25190900 
  4307.0   0.24363300   0.23725000   0.22434500   0.25218000 
  4312.2   0.24411400   0.23765100   0.22503200   0.25279700 
  4317.5   0.24459900   0.23804400   0.22541300   0.25307000 
  4322.8   0.24508800   0.23843100   0.22579600   0.25334600 
  4328.1   0.24557900   0.23914600   0.22649100   0.25397200 
  4333.3   0.24607300   0.23952300   0.22688000   0.25425400 
  4338.6   0.24656900   0.23989400   0.22727100   0.25454100 
  4343.9   0.24706500   0.24026300   0.22797700   0.25518100 
  4349.1   0.24756000   0.24062900   0.22837500   0.25547700 
  4354.4   0.24805300   0.24099300   0.22877500   0.25577900 
  4359.7   0.24854300   0.24135700   0.22949300   0.25643800 
  4364.9   0.24902900   0.24172000   0.22990000   0.25675300 
  4370.2   0.24950900   0.24208500   0.23030900   0.25707400 
  4375.5   0.24998200   0.24279100   0.23103900   0.25775600 
  4380.8   0.25044700   0.24316000   0.23145500   0.25809100 
  4386.0   0.25090100   0.24353200   0.23187400   0.25843400 
  4391.3   0.25134500   0.24390800   0.23229500   0.25878500 
  4396.6   0.25177500   0.24428900   0.23303900   0.25950100 
  4401.9   0.25219200   0.24467500   0.23346500   0.25986700 
  4407.1   0.25259400   0.24506700   0.23389300   0.26024200 
  4412.4   0.25297900   0.24546600   0.23464600   0.26098400 
  4417.7   0.25334600   0.24587200   0.23507700   0.26137500 
  4422.9   0.25369500   0.24628600   0.23550800   0.26177400 
  4428.2   0.25402400   0.24705500   0.23626600   0.26254200 
  4433.5   0.25433200   0.24748700   0.23669900   0.26295700 
  4438.8   0.25462000   0.24792800   0.23713000   0.26337800 
  4444.0   0.25488500   0.24837900   0.23788900   0.26417200 
  4449.3   0.25512800   0.24884000   0.23831800   0.26460700 
  4454.6   0.25534900   0.24931100   0.23874300   0.26504900 
  4459.9   0.25554600   0.24979200   0.23949700   0.26586400 
  4465.1   0.25572100   0.25028300   0.23991400   0.26631600 
  4470.4   0.25587400   0.25078400   0.24032600   0.26677300 
  4475.7   0.25600500   0.25165000   0.24106500   0.26760300 
  4480.9   0.25611400   0.25217200   0.24146300   0.26806600 
  4486.2   0.25620300   0.25270400   0.24185100   0.26853100 
  4491.5   0.25627200   0.25324500   0.24222800   0.26899500 
  4496.8   0.25632200   0.25379400   0.24292900   0.26983300 
  4502.0   0.25635600   0.25435000   0.24327900   0.27029500 
  4507.3   0.25672100   0.25527300   0.24395200   0.27112900 
  4512.6   0.25707400   0.25620300   0.24460800   0.27195900 
  4517.8   0.25706600   0.25677600   0.24490300   0.27240400 
  4523.1   0.25739800   0.25771600   0.24551600   0.27321900 
  4528.4   0.25737300   0.25829300   0.24610400   0.27364100 
  4533.7   0.25769300   0.25923600   0.24666500   0.27443000 
  4538.9   0.25801000   0.26017600   0.24684800   0.27520300 
  4544.2   0.25797700   0.26074200   0.24734000   0.27557000 
  4549.5   0.25829700   0.26166900   0.24779200   0.27629800 
  4554.7   0.25862200   0.26258600   0.24820000   0.27699700 
  4560.0   0.25860300   0.26311300   0.24821000   0.27727500 
  4565.3   0.25894500   0.26399400   0.24851400   0.27790200 
  4570.6   0.25894700   0.26447400   0.24875700   0.27809500 
  4575.8   0.25931600   0.26530000   0.24893400   0.27862700 
  4581.1   0.25970100   0.26609100   0.24868500   0.27910300 
  4586.4   0.25974900   0.26646000   0.24870600   0.27912100 
