         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 3.000E-01 1.000E+05 2.800E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.750E-01 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 2.443E+02  3.154E-25  2.044E-38
 2.421E+02  3.205E-25  2.058E-38
 2.399E+02  3.256E-25  2.072E-38
 2.377E+02  3.307E-25  2.085E-38
 2.355E+02  3.358E-25  2.097E-38
 2.333E+02  3.408E-25  2.110E-38
 2.312E+02  3.459E-25  2.121E-38
 2.291E+02  3.509E-25  2.132E-38
 2.270E+02  3.559E-25  2.143E-38
 2.249E+02  3.609E-25  2.153E-38
 2.228E+02  3.658E-25  2.163E-38
 2.208E+02  3.708E-25  2.172E-38
 2.188E+02  3.757E-25  2.180E-38
 2.168E+02  3.806E-25  2.188E-38
 2.148E+02  3.854E-25  2.196E-38
 2.128E+02  3.903E-25  2.203E-38
 2.109E+02  3.951E-25  2.210E-38
 2.089E+02  3.998E-25  2.216E-38
 2.070E+02  4.045E-25  2.221E-38
 2.051E+02  4.091E-25  2.226E-38
 2.032E+02  4.137E-25  2.230E-38
 2.014E+02  4.183E-25  2.234E-38
 1.995E+02  4.228E-25  2.238E-38
 1.977E+02  4.272E-25  2.240E-38
 1.959E+02  4.316E-25  2.243E-38
 1.941E+02  4.359E-25  2.244E-38
 1.923E+02  4.402E-25  2.245E-38
 1.905E+02  4.443E-25  2.246E-38
 1.888E+02  4.485E-25  2.246E-38
 1.871E+02  4.525E-25  2.245E-38
 1.854E+02  4.565E-25  2.244E-38
 1.837E+02  4.604E-25  2.243E-38
 1.820E+02  4.642E-25  2.241E-38
 1.803E+02  4.679E-25  2.238E-38
 1.786E+02  4.716E-25  2.235E-38
 1.770E+02  4.752E-25  2.231E-38
 1.754E+02  4.787E-25  2.227E-38
 1.738E+02  4.822E-25  2.223E-38
 1.722E+02  4.856E-25  2.218E-38
 1.706E+02  4.889E-25  2.212E-38
 1.690E+02  4.921E-25  2.206E-38
 1.675E+02  4.952E-25  2.200E-38
 1.660E+02  4.983E-25  2.194E-38
 1.644E+02  5.013E-25  2.187E-38
 1.629E+02  5.042E-25  2.179E-38
 1.614E+02  5.071E-25  2.172E-38
