         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 8.790E+02  1.233E-26  2.874E-39
 8.710E+02  1.280E-26  2.958E-39
 8.630E+02  1.330E-26  3.044E-39
 8.551E+02  1.381E-26  3.132E-39
 8.472E+02  1.434E-26  3.223E-39
 8.395E+02  1.489E-26  3.316E-39
 8.318E+02  1.547E-26  3.412E-39
 8.241E+02  1.606E-26  3.511E-39
 8.166E+02  1.668E-26  3.612E-39
 8.091E+02  1.732E-26  3.717E-39
 8.017E+02  1.798E-26  3.824E-39
 7.943E+02  1.867E-26  3.934E-39
 7.870E+02  1.938E-26  4.047E-39
 7.798E+02  2.013E-26  4.163E-39
 7.727E+02  2.090E-26  4.283E-39
 7.656E+02  2.169E-26  4.406E-39
 7.586E+02  2.252E-26  4.532E-39
 7.516E+02  2.338E-26  4.661E-39
 7.447E+02  2.427E-26  4.795E-39
 7.379E+02  2.519E-26  4.932E-39
 7.311E+02  2.615E-26  5.072E-39
 7.244E+02  2.715E-26  5.217E-39
 7.178E+02  2.818E-26  5.365E-39
 7.112E+02  2.924E-26  5.517E-39
 7.047E+02  3.035E-26  5.674E-39
 6.982E+02  3.150E-26  5.834E-39
 6.918E+02  3.269E-26  6.000E-39
 6.855E+02  3.393E-26  6.169E-39
 6.792E+02  3.521E-26  6.344E-39
 6.730E+02  3.654E-26  6.522E-39
 6.668E+02  3.791E-26  6.706E-39
 6.607E+02  3.934E-26  6.894E-39
 6.546E+02  4.081E-26  7.087E-39
 6.486E+02  4.235E-26  7.286E-39
 6.427E+02  4.394E-26  7.490E-39
 6.368E+02  4.559E-26  7.700E-39
 6.310E+02  4.729E-26  7.915E-39
 6.252E+02  4.906E-26  8.136E-39
 6.194E+02  5.090E-26  8.363E-39
 6.138E+02  5.280E-26  8.595E-39
 6.081E+02  5.476E-26  8.834E-39
 6.026E+02  5.680E-26  9.079E-39
 5.970E+02  5.891E-26  9.330E-39
 5.916E+02  6.110E-26  9.588E-39
 5.861E+02  6.337E-26  9.852E-39
 5.808E+02  6.572E-26  1.012E-38
