         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.200E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.739E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 4.571E+03  1.255E-29  1.522E-41
 4.529E+03  1.303E-29  1.566E-41
 4.487E+03  1.354E-29  1.612E-41
 4.446E+03  1.406E-29  1.659E-41
 4.406E+03  1.461E-29  1.707E-41
 4.365E+03  1.518E-29  1.757E-41
 4.325E+03  1.576E-29  1.809E-41
 4.285E+03  1.638E-29  1.862E-41
 4.246E+03  1.701E-29  1.916E-41
 4.207E+03  1.767E-29  1.972E-41
 4.169E+03  1.836E-29  2.030E-41
 4.130E+03  1.908E-29  2.090E-41
 4.093E+03  1.982E-29  2.151E-41
 4.055E+03  2.059E-29  2.215E-41
 4.018E+03  2.139E-29  2.280E-41
 3.981E+03  2.222E-29  2.347E-41
 3.945E+03  2.309E-29  2.416E-41
 3.908E+03  2.399E-29  2.487E-41
 3.873E+03  2.493E-29  2.561E-41
 3.837E+03  2.590E-29  2.636E-41
 3.802E+03  2.691E-29  2.714E-41
 3.767E+03  2.797E-29  2.794E-41
 3.733E+03  2.906E-29  2.877E-41
 3.698E+03  3.020E-29  2.962E-41
 3.664E+03  3.138E-29  3.050E-41
 3.631E+03  3.261E-29  3.140E-41
 3.597E+03  3.388E-29  3.233E-41
 3.565E+03  3.521E-29  3.329E-41
 3.532E+03  3.659E-29  3.428E-41
 3.499E+03  3.803E-29  3.530E-41
 3.467E+03  3.952E-29  3.635E-41
 3.436E+03  4.107E-29  3.743E-41
 3.404E+03  4.268E-29  3.854E-41
 3.373E+03  4.436E-29  3.969E-41
 3.342E+03  4.610E-29  4.087E-41
 3.311E+03  4.791E-29  4.209E-41
 3.281E+03  4.980E-29  4.334E-41
 3.251E+03  5.176E-29  4.463E-41
 3.221E+03  5.379E-29  4.596E-41
 3.192E+03  5.591E-29  4.733E-41
 3.162E+03  5.811E-29  4.874E-41
 3.133E+03  6.040E-29  5.020E-41
 3.105E+03  6.278E-29  5.170E-41
 3.076E+03  6.525E-29  5.324E-41
 3.048E+03  6.782E-29  5.483E-41
 3.020E+03  7.050E-29  5.647E-41
 2.992E+03  7.328E-29  5.816E-41
 2.965E+03  7.616E-29  5.990E-41
 2.938E+03  7.916E-29  6.168E-41
 2.911E+03  8.228E-29  6.353E-41
 2.884E+03  8.552E-29  6.542E-41
 2.858E+03  8.889E-29  6.738E-41
 2.831E+03  9.239E-29  6.939E-41
 2.805E+03  9.604E-29  7.147E-41
 2.780E+03  9.983E-29  7.361E-41
 2.754E+03  1.038E-28  7.581E-41
 2.729E+03  1.079E-28  7.808E-41
 2.704E+03  1.121E-28  8.042E-41
 2.679E+03  1.165E-28  8.283E-41
 2.655E+03  1.211E-28  8.531E-41
 2.630E+03  1.259E-28  8.786E-41
 2.606E+03  1.309E-28  9.050E-41
 2.582E+03  1.361E-28  9.321E-41
 2.559E+03  1.415E-28  9.601E-41
 2.535E+03  1.471E-28  9.889E-41
 2.512E+03  1.529E-28  1.019E-40
 2.489E+03  1.589E-28  1.049E-40
 2.466E+03  1.652E-28  1.081E-40
 2.443E+03  1.717E-28  1.113E-40
 2.421E+03  1.785E-28  1.147E-40
 2.399E+03  1.856E-28  1.181E-40
 2.377E+03  1.929E-28  1.216E-40
 2.355E+03  2.006E-28  1.253E-40
 2.333E+03  2.085E-28  1.291E-40
 2.312E+03  2.168E-28  1.329E-40
 2.291E+03  2.254E-28  1.369E-40
 2.270E+03  2.343E-28  1.411E-40
 2.249E+03  2.435E-28  1.453E-40
 2.228E+03  2.532E-28  1.497E-40
 2.208E+03  2.632E-28  1.542E-40
 2.188E+03  2.736E-28  1.588E-40
 2.168E+03  2.845E-28  1.636E-40
 2.148E+03  2.957E-28  1.685E-40
 2.128E+03  3.074E-28  1.735E-40
 2.109E+03  3.196E-28  1.787E-40
 2.089E+03  3.322E-28  1.841E-40
 2.070E+03  3.454E-28  1.896E-40
 2.051E+03  3.590E-28  1.953E-40
 2.032E+03  3.732E-28  2.012E-40
 2.014E+03  3.880E-28  2.072E-40
 1.995E+03  4.033E-28  2.135E-40
 1.977E+03  4.194E-28  2.200E-40
 1.959E+03  4.362E-28  2.266E-40
 1.941E+03  4.536E-28  2.335E-40
 1.923E+03  4.717E-28  2.406E-40
 1.905E+03  4.905E-28  2.479E-40
 1.888E+03  5.101E-28  2.555E-40
 1.871E+03  5.305E-28  2.632E-40
 1.854E+03  5.517E-28  2.712E-40
 1.837E+03  5.737E-28  2.795E-40
 1.820E+03  5.967E-28  2.880E-40
 1.803E+03  6.205E-28  2.968E-40
 1.786E+03  6.453E-28  3.058E-40
 1.770E+03  6.712E-28  3.151E-40
 1.754E+03  6.980E-28  3.247E-40
 1.738E+03  7.260E-28  3.346E-40
 1.722E+03  7.550E-28  3.448E-40
 1.706E+03  7.852E-28  3.554E-40
 1.690E+03  8.167E-28  3.662E-40
 1.675E+03  8.494E-28  3.774E-40
 1.660E+03  8.834E-28  3.889E-40
 1.644E+03  9.187E-28  4.007E-40
 1.629E+03  9.555E-28  4.130E-40
 1.614E+03  9.938E-28  4.256E-40
 1.600E+03  1.034E-27  4.385E-40
 1.585E+03  1.075E-27  4.519E-40
 1.570E+03  1.118E-27  4.657E-40
 1.556E+03  1.163E-27  4.799E-40
 1.542E+03  1.209E-27  4.946E-40
 1.528E+03  1.258E-27  5.096E-40
 1.514E+03  1.308E-27  5.252E-40
 1.500E+03  1.360E-27  5.412E-40
 1.486E+03  1.415E-27  5.577E-40
 1.472E+03  1.472E-27  5.747E-40
 1.459E+03  1.530E-27  5.922E-40
 1.445E+03  1.592E-27  6.103E-40
 1.432E+03  1.656E-27  6.289E-40
 1.419E+03  1.722E-27  6.481E-40
 1.406E+03  1.791E-27  6.679E-40
 1.393E+03  1.862E-27  6.882E-40
 1.380E+03  1.937E-27  7.092E-40
 1.368E+03  2.014E-27  7.308E-40
 1.355E+03  2.095E-27  7.531E-40
 1.343E+03  2.179E-27  7.760E-40
 1.330E+03  2.266E-27  7.996E-40
 1.318E+03  2.356E-27  8.240E-40
 1.306E+03  2.451E-27  8.490E-40
 1.294E+03  2.548E-27  8.749E-40
 1.282E+03  2.650E-27  9.015E-40
 1.271E+03  2.756E-27  9.289E-40
 1.259E+03  2.866E-27  9.571E-40
 1.247E+03  2.980E-27  9.861E-40
 1.236E+03  3.099E-27  1.016E-39
 1.225E+03  3.223E-27  1.047E-39
 1.213E+03  3.351E-27  1.079E-39
 1.202E+03  3.485E-27  1.111E-39
 1.191E+03  3.623E-27  1.145E-39
 1.180E+03  3.768E-27  1.180E-39
 1.169E+03  3.917E-27  1.215E-39
 1.159E+03  4.073E-27  1.252E-39
 1.148E+03  4.235E-27  1.290E-39
 1.138E+03  4.403E-27  1.329E-39
 1.127E+03  4.578E-27  1.369E-39
 1.117E+03  4.760E-27  1.410E-39
 1.107E+03  4.949E-27  1.453E-39
 1.096E+03  5.145E-27  1.496E-39
 1.086E+03  5.348E-27  1.541E-39
 1.076E+03  5.560E-27  1.588E-39
 1.067E+03  5.780E-27  1.635E-39
 1.057E+03  6.009E-27  1.684E-39
 1.047E+03  6.246E-27  1.735E-39
 1.038E+03  6.492E-27  1.787E-39
 1.028E+03  6.749E-27  1.840E-39
 1.019E+03  7.015E-27  1.895E-39
 1.009E+03  7.291E-27  1.952E-39
 1.000E+03  7.578E-27  2.010E-39
 9.908E+02  7.876E-27  2.070E-39
 9.817E+02  8.185E-27  2.132E-39
 9.727E+02  8.506E-27  2.195E-39
 9.638E+02  8.840E-27  2.260E-39
 9.550E+02  9.187E-27  2.327E-39
 9.462E+02  9.547E-27  2.396E-39
 9.376E+02  9.920E-27  2.467E-39
 9.290E+02  1.031E-26  2.540E-39
 9.204E+02  1.071E-26  2.615E-39
 9.120E+02  1.113E-26  2.692E-39
 9.036E+02  1.156E-26  2.772E-39
 8.954E+02  1.201E-26  2.853E-39
 8.872E+02  1.248E-26  2.937E-39
 8.790E+02  1.296E-26  3.023E-39
 8.710E+02  1.347E-26  3.111E-39
 8.630E+02  1.399E-26  3.202E-39
 8.551E+02  1.453E-26  3.296E-39
 8.472E+02  1.509E-26  3.392E-39
 8.395E+02  1.568E-26  3.491E-39
 8.318E+02  1.628E-26  3.593E-39
 8.241E+02  1.691E-26  3.698E-39
 8.166E+02  1.757E-26  3.805E-39
 8.091E+02  1.825E-26  3.916E-39
 8.017E+02  1.895E-26  4.029E-39
 7.943E+02  1.968E-26  4.146E-39
 7.870E+02  2.044E-26  4.267E-39
 7.798E+02  2.122E-26  4.390E-39
 7.727E+02  2.204E-26  4.517E-39
 7.656E+02  2.289E-26  4.648E-39
 7.586E+02  2.377E-26  4.782E-39
 7.516E+02  2.468E-26  4.921E-39
 7.447E+02  2.563E-26  5.062E-39
 7.379E+02  2.661E-26  5.208E-39
 7.311E+02  2.763E-26  5.358E-39
 7.244E+02  2.868E-26  5.512E-39
 7.178E+02  2.978E-26  5.670E-39
 7.112E+02  3.092E-26  5.833E-39
 7.047E+02  3.210E-26  6.000E-39
 6.982E+02  3.332E-26  6.171E-39
 6.918E+02  3.459E-26  6.348E-39
 6.855E+02  3.591E-26  6.529E-39
 6.792E+02  3.728E-26  6.716E-39
 6.730E+02  3.869E-26  6.907E-39
 6.668E+02  4.016E-26  7.103E-39
 6.607E+02  4.168E-26  7.304E-39
 6.546E+02  4.326E-26  7.511E-39
 6.486E+02  4.490E-26  7.725E-39
 6.427E+02  4.660E-26  7.944E-39
 6.368E+02  4.836E-26  8.168E-39
 6.310E+02  5.019E-26  8.399E-39
 6.252E+02  5.208E-26  8.636E-39
 6.194E+02  5.404E-26  8.880E-39
 6.138E+02  5.608E-26  9.130E-39
 6.081E+02  5.819E-26  9.386E-39
 6.026E+02  6.037E-26  9.650E-39
 5.970E+02  6.264E-26  9.920E-39
 5.916E+02  6.499E-26  1.020E-38
 5.861E+02  6.742E-26  1.048E-38
 5.808E+02  6.994E-26  1.077E-38
 5.754E+02  7.255E-26  1.107E-38
 5.702E+02  7.526E-26  1.138E-38
 5.649E+02  7.806E-26  1.170E-38
 5.598E+02  8.097E-26  1.202E-38
 5.546E+02  8.397E-26  1.235E-38
 5.495E+02  8.709E-26  1.269E-38
 5.445E+02  9.031E-26  1.304E-38
 5.395E+02  9.364E-26  1.340E-38
 5.346E+02  9.710E-26  1.377E-38
 5.297E+02  1.007E-25  1.414E-38
 5.248E+02  1.044E-25  1.453E-38
 5.200E+02  1.082E-25  1.493E-38
 5.152E+02  1.122E-25  1.533E-38
 5.105E+02  1.163E-25  1.575E-38
 5.058E+02  1.205E-25  1.617E-38
 5.012E+02  1.249E-25  1.661E-38
 4.966E+02  1.295E-25  1.706E-38
 4.920E+02  1.342E-25  1.752E-38
 4.875E+02  1.391E-25  1.799E-38
 4.831E+02  1.441E-25  1.847E-38
 4.786E+02  1.493E-25  1.896E-38
 4.742E+02  1.547E-25  1.946E-38
 4.699E+02  1.603E-25  1.998E-38
 4.656E+02  1.661E-25  2.051E-38
 4.613E+02  1.720E-25  2.105E-38
 4.571E+02  1.782E-25  2.160E-38
 4.529E+02  1.846E-25  2.217E-38
 4.487E+02  1.911E-25  2.275E-38
 4.446E+02  1.979E-25  2.335E-38
 4.406E+02  2.050E-25  2.395E-38
 4.365E+02  2.122E-25  2.458E-38
 4.325E+02  2.197E-25  2.521E-38
 4.285E+02  2.275E-25  2.586E-38
 4.246E+02  2.355E-25  2.652E-38
 4.207E+02  2.438E-25  2.720E-38
 4.169E+02  2.523E-25  2.790E-38
 4.130E+02  2.611E-25  2.861E-38
 4.093E+02  2.702E-25  2.933E-38
 4.055E+02  2.796E-25  3.007E-38
 4.018E+02  2.893E-25  3.083E-38
 3.981E+02  2.993E-25  3.160E-38
 3.945E+02  3.096E-25  3.239E-38
 3.908E+02  3.203E-25  3.320E-38
 3.873E+02  3.312E-25  3.403E-38
 3.837E+02  3.426E-25  3.487E-38
 3.802E+02  3.542E-25  3.572E-38
 3.767E+02  3.663E-25  3.660E-38
 3.733E+02  3.787E-25  3.749E-38
 3.698E+02  3.915E-25  3.840E-38
 3.664E+02  4.047E-25  3.933E-38
 3.631E+02  4.183E-25  4.028E-38
 3.597E+02  4.322E-25  4.125E-38
 3.565E+02  4.467E-25  4.223E-38
 3.532E+02  4.615E-25  4.323E-38
 3.499E+02  4.768E-25  4.426E-38
 3.467E+02  4.925E-25  4.530E-38
 3.436E+02  5.087E-25  4.636E-38
 3.404E+02  5.254E-25  4.744E-38
 3.373E+02  5.425E-25  4.854E-38
 3.342E+02  5.601E-25  4.966E-38
 3.311E+02  5.783E-25  5.079E-38
 3.281E+02  5.969E-25  5.195E-38
 3.251E+02  6.161E-25  5.313E-38
 3.221E+02  6.358E-25  5.433E-38
 3.192E+02  6.561E-25  5.555E-38
 3.162E+02  6.769E-25  5.678E-38
 3.133E+02  6.983E-25  5.804E-38
 3.105E+02  7.203E-25  5.932E-38
 3.076E+02  7.429E-25  6.062E-38
 3.048E+02  7.661E-25  6.194E-38
 3.020E+02  7.899E-25  6.328E-38
 2.992E+02  8.143E-25  6.464E-38
 2.965E+02  8.394E-25  6.602E-38
 2.938E+02  8.652E-25  6.742E-38
 2.911E+02  8.916E-25  6.884E-38
 2.884E+02  9.187E-25  7.028E-38
 2.858E+02  9.465E-25  7.175E-38
 2.831E+02  9.750E-25  7.323E-38
 2.805E+02  1.004E-24  7.473E-38
 2.780E+02  1.034E-24  7.625E-38
 2.754E+02  1.065E-24  7.779E-38
 2.729E+02  1.097E-24  7.938E-38
 2.704E+02  1.129E-24  8.100E-38
 2.679E+02  1.163E-24  8.262E-38
 2.655E+02  1.196E-24  8.425E-38
 2.630E+02  1.231E-24  8.589E-38
 2.606E+02  1.266E-24  8.753E-38
 2.582E+02  1.302E-24  8.918E-38
 2.559E+02  1.338E-24  9.084E-38
 2.535E+02  1.375E-24  9.250E-38
 2.512E+02  1.413E-24  9.416E-38
 2.489E+02  1.451E-24  9.579E-38
 2.466E+02  1.489E-24  9.739E-38
 2.443E+02  1.527E-24  9.899E-38
 2.421E+02  1.566E-24  1.006E-37
 2.399E+02  1.606E-24  1.022E-37
 2.377E+02  1.647E-24  1.038E-37
 2.355E+02  1.687E-24  1.054E-37
 2.333E+02  1.729E-24  1.070E-37
 2.312E+02  1.771E-24  1.086E-37
 2.291E+02  1.814E-24  1.102E-37
 2.270E+02  1.857E-24  1.118E-37
 2.249E+02  1.901E-24  1.134E-37
 2.228E+02  1.945E-24  1.150E-37
 2.208E+02  1.990E-24  1.166E-37
 2.188E+02  2.036E-24  1.182E-37
 2.168E+02  2.082E-24  1.197E-37
 2.148E+02  2.129E-24  1.213E-37
 2.128E+02  2.177E-24  1.229E-37
 2.109E+02  2.225E-24  1.244E-37
 2.089E+02  2.273E-24  1.260E-37
 2.070E+02  2.322E-24  1.275E-37
 2.051E+02  2.372E-24  1.290E-37
 2.032E+02  2.422E-24  1.306E-37
 2.014E+02  2.473E-24  1.321E-37
 1.995E+02  2.524E-24  1.336E-37
 1.977E+02  2.575E-24  1.350E-37
 1.959E+02  2.627E-24  1.365E-37
 1.941E+02  2.680E-24  1.380E-37
 1.923E+02  2.733E-24  1.394E-37
 1.905E+02  2.786E-24  1.408E-37
 1.888E+02  2.840E-24  1.422E-37
 1.871E+02  2.894E-24  1.436E-37
 1.854E+02  2.949E-24  1.450E-37
 1.837E+02  3.004E-24  1.463E-37
 1.820E+02  3.059E-24  1.477E-37
 1.803E+02  3.115E-24  1.490E-37
 1.786E+02  3.171E-24  1.503E-37
 1.770E+02  3.228E-24  1.516E-37
 1.754E+02  3.285E-24  1.528E-37
 1.738E+02  3.342E-24  1.540E-37
 1.722E+02  3.399E-24  1.553E-37
 1.706E+02  3.457E-24  1.565E-37
 1.690E+02  3.515E-24  1.576E-37
 1.675E+02  3.574E-24  1.588E-37
 1.660E+02  3.633E-24  1.599E-37
 1.644E+02  3.692E-24  1.610E-37
 1.629E+02  3.752E-24  1.621E-37
 1.614E+02  3.812E-24  1.632E-37
 1.600E+02  3.872E-24  1.643E-37
 1.585E+02  3.933E-24  1.653E-37
 1.570E+02  3.994E-24  1.664E-37
 1.556E+02  4.056E-24  1.674E-37
 1.542E+02  4.118E-24  1.684E-37
 1.528E+02  4.181E-24  1.694E-37
 1.514E+02  4.244E-24  1.704E-37
 1.500E+02  4.307E-24  1.713E-37
 1.486E+02  4.370E-24  1.723E-37
 1.472E+02  4.434E-24  1.732E-37
 1.459E+02  4.497E-24  1.740E-37
 1.445E+02  4.558E-24  1.748E-37
 1.432E+02  4.618E-24  1.754E-37
 1.419E+02  4.674E-24  1.759E-37
 1.406E+02  4.726E-24  1.763E-37
 1.393E+02  4.773E-24  1.764E-37
 1.380E+02  4.814E-24  1.763E-37
 1.368E+02  4.851E-24  1.760E-37
 1.355E+02  4.883E-24  1.755E-37
 1.343E+02  4.911E-24  1.749E-37
 1.330E+02  4.938E-24  1.743E-37
 1.318E+02  4.962E-24  1.735E-37
 1.306E+02  4.986E-24  1.728E-37
 1.294E+02  5.010E-24  1.720E-37
 1.282E+02  5.033E-24  1.712E-37
 1.271E+02  5.056E-24  1.704E-37
 1.259E+02  5.080E-24  1.696E-37
 1.247E+02  5.103E-24  1.688E-37
 1.236E+02  5.126E-24  1.681E-37
 1.225E+02  5.148E-24  1.672E-37
 1.213E+02  5.171E-24  1.664E-37
 1.202E+02  5.194E-24  1.656E-37
 1.191E+02  5.216E-24  1.648E-37
 1.180E+02  5.237E-24  1.640E-37
 1.169E+02  5.258E-24  1.631E-37
 1.159E+02  5.278E-24  1.622E-37
 1.148E+02  5.298E-24  1.613E-37
 1.138E+02  5.316E-24  1.604E-37
 1.127E+02  5.334E-24  1.595E-37
 1.117E+02  5.352E-24  1.586E-37
 1.107E+02  5.369E-24  1.576E-37
 1.096E+02  5.385E-24  1.566E-37
 1.086E+02  5.400E-24  1.556E-37
 1.076E+02  5.414E-24  1.546E-37
 1.067E+02  5.427E-24  1.535E-37
 1.057E+02  5.440E-24  1.525E-37
 1.047E+02  5.451E-24  1.514E-37
 1.038E+02  5.461E-24  1.503E-37
 1.028E+02  5.468E-24  1.491E-37
 1.019E+02  5.476E-24  1.480E-37
 1.009E+02  5.483E-24  1.468E-37
 1.000E+02  5.489E-24  1.456E-37
 9.908E+01  5.493E-24  1.444E-37
 9.817E+01  5.497E-24  1.431E-37
 9.727E+01  5.499E-24  1.419E-37
 9.638E+01  5.500E-24  1.406E-37
 9.550E+01  5.500E-24  1.393E-37
 9.462E+01  5.499E-24  1.380E-37
 9.376E+01  5.497E-24  1.367E-37
 9.290E+01  5.494E-24  1.354E-37
 9.204E+01  5.489E-24  1.340E-37
 9.120E+01  5.484E-24  1.327E-37
 9.036E+01  5.478E-24  1.313E-37
 8.954E+01  5.470E-24  1.299E-37
 8.872E+01  5.462E-24  1.285E-37
 8.790E+01  5.453E-24  1.271E-37
 8.710E+01  5.441E-24  1.257E-37
 8.630E+01  5.430E-24  1.243E-37
 8.551E+01  5.418E-24  1.229E-37
 8.472E+01  5.404E-24  1.214E-37
 8.395E+01  5.390E-24  1.200E-37
 8.318E+01  5.376E-24  1.186E-37
 8.241E+01  5.361E-24  1.172E-37
 8.166E+01  5.345E-24  1.158E-37
 8.091E+01  5.328E-24  1.144E-37
 8.017E+01  5.311E-24  1.129E-37
 7.943E+01  5.293E-24  1.115E-37
 7.870E+01  5.274E-24  1.101E-37
 7.798E+01  5.254E-24  1.087E-37
 7.727E+01  5.234E-24  1.073E-37
 7.656E+01  5.213E-24  1.059E-37
 7.586E+01  5.192E-24  1.045E-37
 7.516E+01  5.170E-24  1.031E-37
 7.447E+01  5.147E-24  1.017E-37
 7.379E+01  5.122E-24  1.003E-37
 7.311E+01  5.099E-24  9.888E-38
 7.244E+01  5.071E-24  9.745E-38
 7.178E+01  5.046E-24  9.608E-38
 7.112E+01  5.021E-24  9.472E-38
 7.047E+01  4.995E-24  9.337E-38
 6.982E+01  4.970E-24  9.205E-38
 6.918E+01  4.944E-24  9.072E-38
 6.855E+01  4.917E-24  8.940E-38
 6.792E+01  4.890E-24  8.809E-38
 6.730E+01  4.862E-24  8.680E-38
 6.668E+01  4.835E-24  8.551E-38
 6.607E+01  4.807E-24  8.424E-38
 6.546E+01  4.778E-24  8.298E-38
 6.486E+01  4.750E-24  8.173E-38
 6.427E+01  4.721E-24  8.049E-38
 6.368E+01  4.693E-24  7.926E-38
 6.310E+01  4.662E-24  7.803E-38
 6.252E+01  4.633E-24  7.683E-38
 6.194E+01  4.604E-24  7.565E-38
 6.138E+01  4.574E-24  7.447E-38
 6.081E+01  4.545E-24  7.331E-38
 6.026E+01  4.515E-24  7.217E-38
 5.970E+01  4.485E-24  7.103E-38
 5.916E+01  4.455E-24  6.991E-38
 5.861E+01  4.424E-24  6.879E-38
 5.808E+01  4.394E-24  6.769E-38
 5.754E+01  4.364E-24  6.660E-38
 5.702E+01  4.333E-24  6.554E-38
 5.649E+01  4.303E-24  6.448E-38
 5.598E+01  4.273E-24  6.344E-38
 5.546E+01  4.242E-24  6.241E-38
 5.495E+01  4.212E-24  6.140E-38
 5.445E+01  4.182E-24  6.040E-38
 5.395E+01  4.151E-24  5.941E-38
 5.346E+01  4.121E-24  5.844E-38
 5.297E+01  4.089E-24  5.744E-38
 5.248E+01  4.058E-24  5.649E-38
 5.200E+01  4.028E-24  5.555E-38
 5.152E+01  3.996E-24  5.462E-38
 5.105E+01  3.966E-24  5.370E-38
 5.058E+01  3.935E-24  5.280E-38
 5.012E+01  3.903E-24  5.189E-38
 4.966E+01  3.872E-24  5.101E-38
 4.920E+01  3.841E-24  5.014E-38
 4.875E+01  3.810E-24  4.928E-38
 4.831E+01  3.780E-24  4.843E-38
 4.786E+01  3.749E-24  4.760E-38
 4.742E+01  3.718E-24  4.678E-38
 4.699E+01  3.687E-24  4.596E-38
 4.656E+01  3.657E-24  4.516E-38
 4.613E+01  3.626E-24  4.437E-38
 4.571E+01  3.595E-24  4.359E-38
