# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W4
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   66400.0 |  9.09e-07 |   81.0 |
|   66500.0 | 9.935e-07 |   81.0 |
|   66600.0 | 1.062e-06 |   82.0 |
|   66700.0 | 1.132e-06 |   82.0 |
|   66800.0 | 1.202e-06 |   81.0 |
|   66900.0 | 1.188e-06 |   81.0 |
|   67000.0 | 1.196e-06 |   81.0 |
|   67100.0 | 1.209e-06 |   81.0 |
|   67200.0 | 1.163e-06 |   82.0 |
|   67300.0 | 1.091e-06 |   82.0 |
|   67400.0 | 1.005e-06 |   82.0 |
|   67500.0 | 8.506e-07 |   83.0 |
|   67600.0 | 7.316e-07 |   83.0 |
|   67700.0 | 6.582e-07 |   83.0 |
|   67800.0 | 5.425e-07 |   83.0 |
|   67900.0 | 5.197e-07 |   84.0 |
|   68000.0 | 5.644e-07 |   84.0 |
|   68100.0 | 6.812e-07 |   83.0 |
|   68200.0 | 8.074e-07 |   83.0 |
|   68300.0 | 9.473e-07 |   83.0 |
|   68400.0 | 1.044e-06 |   83.0 |
|   68500.0 |   1.2e-06 |   83.0 |
|   68600.0 | 1.357e-06 |   83.0 |
|   68700.0 | 1.507e-06 |   83.0 |
|   68800.0 | 1.681e-06 |   83.0 |
|   68900.0 | 1.908e-06 |   82.0 |
|   69000.0 | 2.223e-06 |   82.0 |
|   69100.0 | 2.399e-06 |   82.0 |
|   69200.0 | 2.614e-06 |   82.0 |
|   69300.0 | 2.888e-06 |   81.0 |
|   69400.0 | 2.918e-06 |   81.0 |
|   69500.0 |  3.04e-06 |   81.0 |
|   69600.0 | 3.116e-06 |   81.0 |
|   69700.0 | 3.177e-06 |   80.0 |
|   69800.0 | 3.318e-06 |   80.0 |
|   69900.0 |  3.21e-06 |   80.0 |
|   70000.0 | 3.231e-06 |   80.0 |
|   70100.0 | 3.346e-06 |   80.0 |
|   70200.0 | 3.328e-06 |   80.0 |
|   70300.0 | 3.247e-06 |   80.0 |
|   70400.0 | 3.132e-06 |   80.0 |
|   70500.0 | 2.919e-06 |   80.0 |
|   70600.0 | 2.793e-06 |   79.0 |
|   70700.0 | 2.791e-06 |   79.0 |
|   70800.0 | 2.601e-06 |   79.0 |
|   70900.0 | 2.611e-06 |   79.0 |
|   71000.0 | 2.518e-06 |   78.0 |
|   71100.0 | 2.373e-06 |   78.0 |
|   71200.0 | 2.358e-06 |   78.0 |
|   71300.0 | 2.177e-06 |   78.0 |
|   71400.0 | 2.067e-06 |   78.0 |
|   71500.0 | 1.945e-06 |   78.0 |
|   71600.0 | 1.858e-06 |   78.0 |
|   71700.0 | 1.678e-06 |   78.0 |
|   71800.0 | 1.599e-06 |   78.0 |
|   71900.0 | 1.449e-06 |   78.0 |
|   72000.0 | 1.355e-06 |   78.0 |
|   72100.0 | 1.242e-06 |   77.0 |
|   72200.0 | 1.108e-06 |   78.0 |
|   72300.0 | 1.047e-06 |   77.0 |
|   72400.0 | 9.309e-07 |   77.0 |
|   72500.0 | 8.795e-07 |   77.0 |
|   72600.0 |  7.98e-07 |   76.0 |
|   72700.0 | 7.143e-07 |   76.0 |
|   72800.0 | 6.593e-07 |   76.0 |
|   72900.0 | 5.935e-07 |   76.0 |
|   73000.0 | 5.389e-07 |   76.0 |
|   73100.0 | 4.867e-07 |   75.0 |
|   73200.0 | 4.347e-07 |   75.0 |
|   73300.0 | 3.788e-07 |   75.0 |
|   73400.0 | 3.218e-07 |   75.0 |
|   73500.0 | 2.631e-07 |   75.0 |
|   73600.0 | 2.105e-07 |   75.0 |
|   73700.0 |   1.6e-07 |   75.0 |
|   73800.0 |  1.14e-07 |   74.0 |
|   73900.0 | 1.117e-07 |   74.0 |
|   74000.0 | 1.345e-07 |   74.0 |
|   74100.0 | 1.704e-07 |   73.0 |
|   74200.0 | 2.138e-07 |   74.0 |
|   74300.0 | 2.711e-07 |   73.0 |
|   74400.0 | 3.137e-07 |   74.0 |
|   74500.0 | 3.571e-07 |   74.0 |
|   74600.0 | 3.775e-07 |   74.0 |
|   74700.0 | 3.938e-07 |   74.0 |
|   74800.0 | 3.904e-07 |   74.0 |
|   74900.0 | 3.995e-07 |   73.0 |
|   75000.0 | 3.856e-07 |   73.0 |
|   75100.0 | 3.602e-07 |   74.0 |
|   75200.0 | 3.503e-07 |   73.0 |
|   75300.0 | 3.236e-07 |   73.0 |
|   75400.0 | 2.978e-07 |   73.0 |
|   75500.0 | 2.691e-07 |   73.0 |
|   75600.0 | 2.327e-07 |   73.0 |
|   75700.0 | 2.077e-07 |   73.0 |
|   75800.0 | 1.733e-07 |   73.0 |
|   75900.0 | 1.516e-07 |   73.0 |
|   76000.0 | 1.204e-07 |   73.0 |
|   76100.0 | 1.085e-07 |   72.0 |
|   76200.0 | 9.045e-08 |   73.0 |
|   76300.0 | 8.352e-08 |   73.0 |
|   76400.0 | 8.265e-08 |   73.0 |
|   76500.0 | 8.278e-08 |   73.0 |
|   76600.0 | 8.139e-08 |   73.0 |
|   76700.0 | 8.317e-08 |   73.0 |
|   76800.0 | 9.054e-08 |   73.0 |
|   76900.0 |  9.45e-08 |   73.0 |
|   77000.0 | 1.004e-07 |   73.0 |
|   77100.0 |  1.02e-07 |   73.0 |
|   77200.0 | 1.085e-07 |   73.0 |
|   77300.0 | 1.183e-07 |   73.0 |
|   77400.0 |  1.23e-07 |   73.0 |
|   77500.0 | 1.307e-07 |   73.0 |
|   77600.0 | 1.421e-07 |   73.0 |
|   77700.0 | 1.459e-07 |   73.0 |
|   77800.0 | 1.579e-07 |   72.0 |
|   77900.0 | 1.641e-07 |   72.0 |
|   78000.0 |  1.66e-07 |   73.0 |
|   78100.0 | 1.727e-07 |   73.0 |
|   78200.0 | 1.844e-07 |   73.0 |
|   78300.0 | 1.934e-07 |   73.0 |
|   78400.0 | 1.911e-07 |   73.0 |
|   78500.0 | 1.941e-07 |   73.0 |
|   78600.0 | 2.043e-07 |   73.0 |
|   78700.0 | 2.003e-07 |   73.0 |
|   78800.0 | 2.104e-07 |   73.0 |
|   78900.0 | 2.169e-07 |   73.0 |
|   79000.0 | 2.168e-07 |   74.0 |
|   79100.0 | 2.261e-07 |   74.0 |
|   79200.0 | 2.356e-07 |   74.0 |
|   79300.0 | 2.462e-07 |   74.0 |
|   79400.0 | 2.653e-07 |   75.0 |
|   79500.0 | 2.767e-07 |   74.0 |
|   79600.0 | 2.806e-07 |   75.0 |
|   79700.0 | 3.066e-07 |   75.0 |
|   79800.0 | 3.097e-07 |   75.0 |
|   79900.0 | 3.236e-07 |   75.0 |
|   80000.0 | 3.378e-07 |   76.0 |
|   80100.0 | 3.393e-07 |   76.0 |
| 80200.008 | 3.399e-07 |   76.0 |
|   80300.0 | 3.471e-07 |   76.0 |
|   80400.0 | 3.327e-07 |   76.0 |
|   80500.0 | 3.321e-07 |   75.0 |
| 80600.008 | 3.144e-07 |   75.0 |
|   80700.0 | 3.058e-07 |   75.0 |
