# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W1
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
| 52399.996 | 1.647e-08 |  211.0 |
|   52500.0 | 1.788e-08 |  211.0 |
| 52600.004 | 1.936e-08 |  216.0 |
|   52700.0 | 2.027e-08 |  215.0 |
| 52800.004 | 2.078e-08 |  210.0 |
|   52900.0 | 2.205e-08 |  213.0 |
|   53000.0 | 2.269e-08 |  205.0 |
|   53100.0 |  2.38e-08 |  202.0 |
|   53200.0 |   2.6e-08 |  203.0 |
|   53300.0 | 2.641e-08 |  199.0 |
|   53400.0 | 2.412e-08 |  194.0 |
|   53500.0 | 2.516e-08 |  193.0 |
|   53600.0 |  2.64e-08 |  195.0 |
|   53700.0 | 2.563e-08 |  190.0 |
|   53800.0 | 2.477e-08 |  189.0 |
|   53900.0 | 2.602e-08 |  189.0 |
|   54000.0 | 2.607e-08 |  193.0 |
|   54100.0 | 2.588e-08 |  195.0 |
|   54200.0 | 2.581e-08 |  196.0 |
|   54300.0 | 2.566e-08 |  194.0 |
|   54400.0 | 2.087e-08 |  187.0 |
|   54500.0 | 2.383e-08 |  186.0 |
|   54600.0 | 2.589e-08 |  189.0 |
| 54699.996 | 2.552e-08 |  184.0 |
|   54800.0 | 2.472e-08 |  181.0 |
| 54899.996 | 2.585e-08 |  182.0 |
|   55000.0 | 2.475e-08 |  181.0 |
| 55100.004 | 2.364e-08 |  179.0 |
|   55200.0 | 2.268e-08 |  177.0 |
| 55300.004 | 2.146e-08 |  174.0 |
|   55400.0 | 2.011e-08 |  175.0 |
|   55500.0 | 1.928e-08 |  179.0 |
|   55600.0 | 1.776e-08 |  181.0 |
|   55700.0 |  1.59e-08 |  180.0 |
|   55800.0 |   1.5e-08 |  186.0 |
|   55900.0 | 1.362e-08 |  187.0 |
|   56000.0 | 1.229e-08 |  188.0 |
|   56100.0 | 1.122e-08 |  188.0 |
|   56200.0 | 1.068e-08 |  186.0 |
|   56300.0 | 9.323e-09 |  192.0 |
|   56400.0 | 8.803e-09 |  189.0 |
|   56500.0 | 7.477e-09 |  193.0 |
|   56600.0 | 7.067e-09 |  187.0 |
|   56700.0 | 6.271e-09 |  184.0 |
|   56800.0 | 4.831e-09 |  185.0 |
|   56900.0 | 4.249e-09 |  182.0 |
|   57000.0 | 3.384e-09 |  179.0 |
|   57100.0 | 2.602e-09 |  181.0 |
| 57199.996 | 2.735e-09 |  176.0 |
|   57300.0 | 2.541e-09 |  175.0 |
| 57399.996 | 2.814e-09 |  175.0 |
|   57500.0 | 3.104e-09 |  181.0 |
| 57600.004 | 3.678e-09 |  182.0 |
|   57700.0 | 4.382e-09 |  182.0 |
| 57800.004 | 4.846e-09 |  180.0 |
|   57900.0 | 5.177e-09 |  182.0 |
|   58000.0 | 5.754e-09 |  182.0 |
|   58100.0 | 6.253e-09 |  184.0 |
|   58200.0 | 7.327e-09 |  183.0 |
|   58300.0 | 7.498e-09 |  186.0 |
|   58400.0 | 8.246e-09 |  183.0 |
|   58500.0 | 9.092e-09 |  180.0 |
|   58600.0 | 9.524e-09 |  182.0 |
|   58700.0 | 9.941e-09 |  185.0 |
|   58800.0 | 1.109e-08 |  183.0 |
|   58900.0 |  1.17e-08 |  180.0 |
|   59000.0 | 1.176e-08 |  180.0 |
|   59100.0 | 1.221e-08 |  177.0 |
|   59200.0 | 1.263e-08 |  176.0 |
|   59300.0 | 1.408e-08 |  176.0 |
|   59400.0 | 1.376e-08 |  180.0 |
|   59500.0 | 1.444e-08 |  181.0 |
|   59600.0 | 1.462e-08 |  178.0 |
| 59699.996 | 1.565e-08 |  181.0 |
|   59800.0 | 1.549e-08 |  185.0 |
| 59899.996 | 1.563e-08 |  188.0 |
|   60000.0 | 1.652e-08 |  185.0 |
| 60100.004 | 1.589e-08 |  190.0 |
|   60200.0 | 1.596e-08 |  190.0 |
| 60300.004 | 1.585e-08 |  194.0 |
|   60400.0 | 1.556e-08 |  200.0 |
|   60500.0 | 1.632e-08 |  199.0 |
|   60600.0 | 1.478e-08 |  203.0 |
|   60700.0 | 1.455e-08 |  201.0 |
|   60800.0 | 1.451e-08 |  199.0 |
|   60900.0 | 1.437e-08 |  199.0 |
|   61000.0 | 1.471e-08 |  195.0 |
|   61100.0 | 1.453e-08 |  196.0 |
|   61200.0 | 1.468e-08 |  199.0 |
|   61300.0 | 1.526e-08 |  198.0 |
|   61400.0 | 1.664e-08 |  201.0 |
|   61500.0 | 1.794e-08 |  208.0 |
|   61600.0 | 2.074e-08 |  215.0 |
|   61700.0 | 2.019e-08 |  238.0 |
|   61800.0 | 2.091e-08 |  253.0 |
|   61900.0 |  2.39e-08 |  285.0 |
|   62000.0 | 2.338e-08 |  310.0 |
|   62100.0 | 3.256e-08 |  323.0 |
| 62199.996 | 3.578e-08 |  373.0 |
|   62300.0 | 4.112e-08 |  392.0 |
| 62399.996 | 5.795e-08 |  378.0 |
|   62500.0 | 7.895e-08 |  358.0 |
| 62600.004 | 1.079e-07 |  362.0 |
|   62700.0 | 1.385e-07 |  386.0 |
| 62800.004 | 1.736e-07 |  421.0 |
|   62900.0 | 2.029e-07 |  475.0 |
|   63000.0 | 2.203e-07 |  566.0 |
|   63100.0 | 1.084e-07 |  533.0 |
|   63200.0 | 3.137e-07 |  554.0 |
|   63300.0 |  2.95e-07 |  514.0 |
|   63400.0 |  2.59e-07 |  502.0 |
|   63500.0 | 2.413e-07 |  489.0 |
|   63600.0 | 2.515e-08 |  908.0 |
|   63700.0 | 2.038e-08 |  701.0 |
|   63800.0 | 3.349e-08 |  677.0 |
|   63900.0 | 1.871e-07 |  429.0 |
|   64000.0 | 1.681e-07 |  434.0 |
|   64100.0 | 3.339e-07 |  635.0 |
|   64200.0 |  3.21e-07 |  635.0 |
|   64300.0 | 2.287e-07 |  536.0 |
|   64400.0 | 2.948e-07 |  635.0 |
|   64500.0 | 2.882e-07 |  634.0 |
|   64600.0 | 2.241e-07 |  536.0 |
| 64699.996 | 2.754e-07 |  635.0 |
|   64800.0 | 9.924e-08 |  536.0 |
| 64899.996 | 2.735e-07 |  634.0 |
|   65000.0 | 2.376e-07 |  536.0 |
