#wave       R1        R2         R3         R4
#
7005.45 0.240818 0.223035 0.202795 0.239929
7012.56 0.240358 0.221498 0.201437 0.238821
7019.67 0.239762 0.219387 0.19956 0.237252
7026.78 0.238993 0.217205 0.197638 0.235808
7033.89 0.238012 0.214352 0.195134 0.233857
7041.01 0.236775 0.211047 0.192261 0.231674
7048.12 0.235232 0.207485 0.189221 0.229522
7055.23 0.233325 0.20307 0.185483 0.226772
7062.34 0.230992 0.198239 0.181476 0.223969
7069.45 0.228163 0.192403 0.176681 0.220489
7076.56 0.224758 0.185957 0.171498 0.216856
7083.67 0.220691 0.178324 0.165423 0.212452
7090.79 0.215866 0.169849 0.158821 0.207502
7097.9 0.210179 0.159973 0.151209 0.202203
7105.01 0.203539 0.148977 0.142908 0.195956
7112.12 0.195767 0.13633 0.133464 0.189196
7119.23 0.18675 0.122233 0.123145 0.181342
7126.34 0.176336 0.106194 0.111532 0.172555
7133.45 0.164382 0.0883172 0.0988287 0.162948
7140.57 0.150664 0.0681614 0.0846627 0.151978
7147.68 0.13501 0.0457113 0.0691586 0.139935
7154.79 0.117221 0.0205964 0.0520034 0.126313
7161.9 0.0970379 0.0177348 0.0332271 0.111174
7169.01 0.0742289 0.0125016 0.0125895 0.0944937
7176.12 0.0485331 0.00864356 0.0142402 0.0758469
7183.24 0.0245559 0.00627245 0.0100913 0.0552798
7190.35 0.0176684 0.00450345 0.00766081 0.0324373
7197.46 0.0121399 0.00362492 0.00575706 0.0200133
7204.57 0.00877637 0.00254818 0.00430612 0.0146006
7211.68 0.00659892 0.00201966 0.00313751 0.0108618
7218.79 0.00476601 0.00141783 0.00230616 0.00797184
7225.9 0.00345976 0.00104288 0.00172893 0.00584952
7233.02 0.00245296 0.000975567 0.00131786 0.00461496
7240.13 0.00181756 0.000755425 0.00100442 0.00325991
7247.24 0.00153716 0.000755791 0.000697402 0.00255279
7254.35 0.00113766 0.000429927 0.00061813 0.0019959
7261.46 0.000914903 0.000454334 0.000502872 0.00170361
