Wavelength     Transmission     Atm. Trans      Tot. Trans.
(micron)       (fractional)     (fractional)    (fractional)
      64.3000    0.0101291     0.911544   0.00923315
      64.3600   0.00952789     0.907853   0.00864992
      64.4200   0.00912360     0.901072   0.00822102
      64.4800   0.00914002     0.891585   0.00814910
      64.5400   0.00904888     0.874717   0.00791521
      64.6000   0.00869334     0.862416   0.00749728
      64.6600   0.00834240     0.837687   0.00698833
      64.7200   0.00800361     0.809879   0.00648195
      64.7800   0.00790072     0.766489   0.00605582
      64.8400   0.00786086     0.701487   0.00551429
      64.9000   0.00747295     0.252195   0.00188464
      64.9600   0.00697912     0.453347   0.00316396
      65.0200   0.00677440     0.222796   0.00150931
      65.0800   0.00683979    0.0150951  0.000103247
      65.1400   0.00670583      0.00000      0.00000
      65.2000   0.00639209      0.00000      0.00000
      65.2600   0.00609773    0.0323860  0.000197481
      65.3200   0.00585998     0.247769   0.00145192
      65.3800   0.00558889     0.444944   0.00248674
      65.4400   0.00540364     0.558723   0.00301914
      65.5000   0.00523729     0.612521   0.00320795
      65.5600   0.00516905     0.540131   0.00279197
      65.6200   0.00528103     0.647178   0.00341776
      65.6800   0.00545190     0.639425   0.00348608
      65.7400   0.00514827     0.402710   0.00207326
